﻿Armes Flexibles,PRT 📐,IRT 💥,DGT ⚔,A,G,M,"DRT
💎","Prix
⚖"
Fouet à queues,0.5,0,C,-2,0,6,+1,3
"Éventail de guerre
(rigide, à garde x2)",,2,T+,T+,2,,0,5
"Chaîne à poids
(éq. de tête)",,3,C+,,,,,3
fouet court,1,1,C,-1,0,5,+1,5
"Fouet-épée
(affinée, 3 têtes, à garde)",,4,T,,1,,0,60
"Nunchaku
(rigide, à garde)",,3,C+,0,1,,0,5
"Fléau d’arme/d’hache
(str. emmanchée, rigide, à garde)",,4,"C++
T++",1,1,4,0,25
fouet,1.5,2,C,0,1,4,+1,8
"Long bâton segmenté
(rigide, à garde)",,4,C+,1,2,,0,5
"Fléau d’arme/d’hache lourd
(str. emmanchée, rigide, à garde)",,5,"C++
T++",2,2,3,0,40
"Grappin/Javelot/Dard à corde
(Corde longue de +X Portée)",,2+X,P,,,,-X,10
Fouet long,2,3,C,1,1,3,+1,10
"Grand fouet-épée
(affinée, 3 têtes, à garde)",,5,T,,2,,0,90
" Faucille enchaînée
(rigide, à croches, 2 têtes mêlées)",,5,"T
P-",2,,4,-2,25
" Fléau enchaîné
(rigide)",,5,C+,2,,,0,45
"Fléau d’hast
(str. emmanchée, rigide)",,6,C++,3,2,2,0,30
Fouet (de Portée +X),2+X,3+X,C,1,1,3,+1-X,10+X
