﻿Armes de Lancer,PRT 📐,IRT 💥,DGT ⚔,A,G,M,"DRT
💎","Prix
⚖"
Dards de jet,0.5,1,P--,0,1,5,,2
"...Couteaux/Faucilles
Étoiles/Lames/Roues de jet",,2,"T/T-
T--/P/P-",,,,,2
"Tranchoires/Hachettes
Boomerang/Bolas/Pierre de jet",,3,"T+/T++
C/C+/C++",,,6,-1,2
Petite fronde à billes,,,X,,,,,1
Javelot,1,3,P,1,1,4,,15
Angon (javelot lourd),,4,P--,,,,,20
"Javelot fléché
(affiné)",,2,P,,,,-1,15
"Filet
(enlié, flexible, à croches x2)",,1,C,-1,,7,-1,5
"Lasso
(de portée +X)",,1+X,C,-1,,7,-1-X,1+X
Boomerange de chasse,,,C,,,5,-1,3
"Grande fronde à 
billes/dards",,,X,,,,,2
Grand Boomerang,2,5,C,3,2,3,-1,5
Grande étoile de jet,,3,T--,,,2,0,5
Fronde-bâton à billes/dards/javelots,,,X,,,,,10
﻿Munitions,PRT 📐,IRT 💥,DGT ⚔,Effets,,,"DRT
💎","Prix
⚖"
Flèche perce-maille,0.5,-,P--,,,,,3
Flèche Feuilletée/Barbillon/Coupe-Jarret/Coupe-amarre/Contondante,,,"P-/P/T--
T++/C+",,,,,3
Flèche ricochet,,,C++,T- PRT sur l’eau,,,-1,2
Flèche sifflante,,,T-,Siffle en l’air,,,-1,2
Flèche incendiaire,,,P,Inflammable,,,-1,3
Bille/Dard à fronde ou arbalète,,,"C+
P--",,,,,1pO
Dard de sarbacane,,,P--,,,,,1pO
Chausse-trappe,,,P--,Piégeant 1 Case,,,,1pO
Oeuf d’huile,,,C+,Inflammable,,,-1,1
Fût & Plume de flèche en métal,,,,T- d’Inertie,,,,+2
"Fût de flèche graissé
Tête de flèche cirée
Têt de flèche aiguisée",,,,Dégâts plus perforant de T-,,,,+1pO
