Classe,﻿Matériaux,,IRT 💥,"ERT
🧱",CTD,TRC,PRF,"DRT
💎","Prix
⚖"
1ère ,Parchemin/Osier/Etc...,,-1,-0.5,-1,-1,-1,-1,-1/10
2ème ,Bois/Ivoire/Pierre/Cuir/Corne,,+1,,-1,-1,-1,-1,-1/10
2ème ,Chitine,,-1,-1,-1,-1,-1,-1,-
2ème | 3ème ,Dryliz (Alliage Éore + Avathon),,-,,-,-,-,-,-
1ère | 2ème ,Écailles Lachnofol (Fourrécaille),,,,+1,+1,+1,,+1/10
3ème ,Melhygrine (Verremiel),,-2,-1,,+1,,-,+1/3
2ème | 3ème  ,Lichyane  (Lichen Ferreux),,-1,-0.5,+1,+1,+1,+1,+1/3
2ème ,Leuchbar (Plomblanc),,+2,+1,+4,+1,+1,-,+1/3
2ème | 3ème ,Oxier (Acier Lichyane),,-,-0.5,+2,+2,+2,+1,+1x
3ème ,Ostréthine (Os Résiné),,-1,-0.5,+3,,+3,+1,+1x
1ère ,Metaxe (soie),,-,-0.5,+1,+1,+1,+2,x3
3ème ,Nêmisyor (Volcverre Aristois),,-,,+3,+3,+3,+2,x3
1ère ,Textile Griscribe,,-,-1,,+3,,+2,x3
1ère ,Lithotile (Fibreroche),,-,+0.5,+2,+2,+2,+1,x10
3ème ,Quysthyal (Orgrystale),,,-0.5,+4,,+4,,x10
3ème ,Foladamne (Diamécaille),,-1,-0.5,,+4,+4,+3,x10
3ème ,"Irisant (Argarc-en-ciel)
Brille & Antirillique",,-,,,,,-1,x10
1ère ,"Huphazile (Textalliage Aïar)
Prorillique",,-2,-1,+4,,+4,+5,x30
Cordes & Corps,,,,DGT ⚔,,,,"DRT
💎","Prix
⚖"
Corde de Métaxe (Soie) tressée-retournée,,,,+1Dg,Limité par la Puissance +1 du tireur,,,+1,+50
Corde Lithotile (Fibreroche),,,,+1Dg,Limité par la Puissance +1 du tireur,,,+2,+100
"Corde d’Huphazile (Textalliage Aïar), ",,,,+2Dg,Limité par la Puissance +2 du tireur,,,+5,+300
Corps élargi X fois (arcs longs),,,+X Dg,,Limité par la Puissance +X du tireur,,,-X,+1/3
Corps laminé (tout arc) ...,,,,+2Dg,Limité par la Puissance +2 du tireur,,,+1,+1x
Et/Ou Corps composé  (tout arc),,,,+2Dg,Limité par la Puissance +2 du tireur,,,+1,+1x
... d’Hylotherme,,,,+1Dg,Limité par la Puissance +1 du tireur,,,,+1/3
... d’Ostréthine (Os Résiné),,,,+2Dg ,Limité par la Puissance +2 du tireur,,,+1,+1x
... d’Oxier (Acier Lichyane),,,,+3Dg,Limité par la Puissance +3 du tireur,,,+1,+1x
