﻿Moralité des Peuples,,
,Moralité,Traduction
Yômmes,,
Aristois,Trèpharchie ,“Croissance Souveraine”
Griscribes,Mignusophie,“Sagesse Imbriquée”
Navillis,Olbôphélie ,“Félicité Dévouée”
Méridiens, Etéathlie,“Authenticité Compétitrice”
Yôrres,,
Hauts Ylfes,Edapoèsie ,“Compétence Créative”
Ylfes pâles,Hiéragogie ,“Direction Sacrée”
Ylfes des lacs,Mellophrônie,“Volition Ingénieuse”
Iqqars,Égonexie,“Intimisme Extrinsèque”
Bêstres,,
Slaadéens,Thrasonirie ,“Audace Rêveuse”
Tchalkchaïs,Echothysie ,“Altruisme Sacrificiel”
