﻿Traitements par Motivation (Choses),,,,,,,,,,,
"Attributs
Motivations",,"Force & Autorité
Réussite & Guerre","Agilité & Nature
Liberté & Survie","Dextérité & Finance
Exploration & Artifice","Vigueur & Collectivité
Tolérance & Labeur","Empathie & Société
Générosité & Ornement","Perception & Instruction
Sécurité & Foi","Créativité & Propriété
Fondation & Rite","Volonté & Politique
Pouvoir & Sortilège","Attributs
Motivations",
"(-)

1ère
H
É
L
I
O
R
É
E","(-)
1ère
Pentaine",L'Expérimentation,L'Artisanat,La Manipulation,L'Enchantement,La Créativité,L'Illusion,L'Interprétation,L'Observation,"(-)
1ère
Pentaine","(-)

1ère
H
É
L
I
O
R
É
E"
,,"Tester concrètement une méthode, approche, technique, etc...",Fabriquer un objet ayant une utilité,Modifier subtilement une situation ou un objet pour influencer un résultat.,Orner un lieu de symboles ou d’objets qui évoquent la beauté et le plaisir,Inventer une histoire qui enrichit la culture locale de d’une réalité pleine de sens,Créer une perception altérée pour élever l’esprit à croire au-delà du possible,"Reformuler ou expliquer une croyance, idée ou savoir pour déterminer son potentiel",Scruter attentivement un phénomène pour en déduire les lois sous-jacentes.,,
,"(0)
2ème
Pentaine",Le Prototype,La Préparation,La Divination,La Consécration,La Sacralité,L'Abstraction,L'Idée,Le Théorème,"(0)
2ème
Pentaine",
,,"Façonner un objet afin de tester une nouvelle méthode, approche, technique",Tourver des éventualités à une situations en s’y préparant,Utiliser des outils ou des symboles pour prédire un événement ou une issue.,Dédier un objet ou un espace à une cérémonie pour renforcer sa signification et le plaisir qu’on en tire,Ordonner un espace ou un objet comme sacré pour en inspirer le respect et l’admiration de la vie,"Amener une possibilité à un désespoir à travers une alternative cachée dans le vague, la complité, ou l’impossible",Proposer une nouvelle vision ou un nouveau concept qui révolutionne la perception actuelle,Formuler une proposition pour clarifier un problème complexe.,,
,"(+)
3ème
Pentaine",La Tactique,La Retraite,Le Mysticisme,La Cérémonie,L'Élevation,La Sublimation,La Conception,La Stratégie,"(+)
3ème
Pentaine",
,,"Appliquer une approche, méthode, technique connue.",Se retirer d’une situation dangereuse afin de minimiser les risques et pertes,Pratiquer un rituel pour connecter ou exploiter des influences invisibles.,Orchestrer un événement formel pour célébrer un moment significatif afin qu’il soit plus mémorable,Créer une œuvre qui soulève les esprits et les inspire à agir et vivre plus,Empêcher tout instincts de quoi que ce soit ou au contraire guider vers toute action y allant à l’encontre,Élaborer un plan ou un modèle détaillé pour la réalisation d’une nouvelle structure ou d’un nouveau système,Déployer un plan ingénieux pour surmonter un obstacle spécifique.,,
"(0)

2ème
H
É
L
I
O
R
É
E","(-)
1ère
Pentaine",L'Automatisation,L'Autosuffisance,L'Alchimie,Le Bannissement,La Mythologie,Le Surnaturel,La Sculpture,La Rhétorique,"(-)
1ère
Pentaine","(0)

2ème
H
É
L
I
O
R
É
E"
,,Trouver un moyen de rendre se libérer d’une tâche répétitive,Obtenir une source rapportant  une ressource périodiquement,Transformer ou combiner des matériaux pour obtenir un résultat inattendu.,"Éliminer des éléments perturbateurs d’un espace, purifiant l’atmosphère.","Expliquer de façon motivant à agir les origines d’un lieu, d’un peuple ou d’une chose","Chercher, penser, trouver voir façonner l’impossible au sein de la réalité possible",Modeler un matériau pour lui donner forme selon une vision artistique ou fonctionnelle.,Utiliser le discours pour persuader ou modifier la perception des autres.,,
,"(0)
2ème
Pentaine",Le Fait,La Détection,Le Symbolisme,La Manifestation,La Croyance,La Vérité,La Perception,L'Hypothèse,"(0)
2ème
Pentaine",
,,"Établir une idée à votre entourage, à travers un exemple concret",Observer attentivement l’environnement pour anticiper et éviter les dangers.,Intégrer des symboles significatifs dans une œuvre pour transmettre un message caché.,Créer une performance qui incarne un idéal ou une émotion faisant vibrer et jouir l’audience,Inspirer des personnes à travers l’impossible à agir bien que n’ayant aucune certitude sur leurs actions,"Proclamer une conviction profonde comme un axiome incontestable, dès lors effaçant le doute et assurant la stabilité",Créer une expérience immersive qui éveille les sens et renforce la connexion avec l’œuvre ou le concept.,Proposer une explication testable pour un nouveau phénomène observé.,,
