"ARMES DE MÊLÉS
(IRT = [I]nertie | 💥; ATQ = [A]ttaque; GRD = [G]arde; MNV = [M]anoeuvre; PRT = [P]ortée | 📐; DRT = [D]urabilité | 💎)",,,,,,,,,,,,,
,"LONGUEUR d’Arme
(+IRT/ATQ/[GRD ou PRT] & -MNV)",,,,"STRUCTURE d’Arme
( +MNV & -ATQ)",,,,,"ÉQUILIBRE d’Arme
( +IRT )",,,
"+0
...0.5","Peaume
(Couteau, Bouclier, Gourdin)",,,,"Empoignée
(Dague, Épée, Ceste, Bouclier)",,,,,"Pommeau
(Bouclier, Dague, Épée, Espadon, Fouet)",,,
"+1
...1.5","Bras
(Épée, Marteau, Hache)",,,,"Emmanchée
(Lance, Marteau, Hallebarde)",,,,,"Centre
(Bâton, Lance, Double-lame)",,,
"+2
...2.5","Corps
(Lance, Espadon, Hallebarde)",,,,"Enliée
(Fouet, Chaîne, Fléau)",,,,,"Tête
(Hache, Masse, Hallebarde)",,,
,"- Une Longueur de 0 commence à +5 MNV
- Ajoutez +1 GRD aux Tailles intermédiaires telles que 0.5 (ex: dague), 1.5 (ex: claymore) et 2.5 (ex: colossabre) et +1 PRT aux Tailles entières (1, 2, 3, etc...)
- Pour chaque Taille au-delà de 3 ou plus: +1 à la PRT seulement",,,,"Empoignée lorsque la majorité du corps de l’arme est dangereuse (telle qu’une lame)
Emmanchée lorsque seule la tête de l’arme est dangereuse (tel qu’une hallebarde)
Enliée quant seul le bout de l’arme (attachée par une corde, chaîne, etc.) est menaçant,",,,,,"Pommeau lorsque l’arme n’a pas de hampe ou de tête (autre qu’une pointe d’épée)
Centre jusqu’à une hampe et tête légère (pointe de lance) ou équidistant (boucliers)
Tête dès qu’elle a une tête lourde (haches, marteaux, fléaux, pics, etc…)",,,
"La Portée d’une arme est aussi égale à son Encombrement (0P =  0.01 Sacs, 0.5P = 0.5 Sacs, 1P = 1 Sac, 1.5P = 1.5 Sacs, 2P = 2 Sacs, etc.)
Une Structure d’arme Emmanchée réduit son Encombrement de 0.5 Sacs (1.5P = 1 Sac) et lorsqu’Enliée  de 1 Sac ET tout +X Portée n’est pas comptée",,,,,,,,,,,,,
"FaceS
(Ses côtés (latéraux et frontal) infligeant les dégâts ⚔)",,,,,,,,,,,,,
"Applati
( CTD++ )",,"Arrondi
( CTD )","Évasé
( CTD )","Hachoir
( TRC++ )","Tailloir
( TRC+ )","Lame
( TRC )",,"Fil
( TRC- )","Fer
( TRC-- )",,"Bec
( PRF )","Estoc
( PRF- )","Pointe
( PRF-- )"
Marteau,,Massue,Masse,Hache,Machette,Couteau,,Épée,Lance,,Piolet,Rapière,Flèche
"Les Armes de pommeau (épées, dagues, etc.) ont d’habitude, deux Faces tranchantes (TRC-) et une Face perforante (PRF), mêlées en un tout",,,,,,,,,,,,,
"TRAITS
(Optionnels, les trois premières pouvant s’ajouter plusieurs fois)",,,,,,,,,,,,,
,"MULTITÊTES
( +X IRT ou -1 Durabilité )",,,,"GARDES
(  +IRT & +GRD )",,,,,"CROCHETS
( +MNV & -Durabilité )",,,
+X,"Arme à plusieurs faces séparées entre elles
(Si mêlée en une seule face = QUE -1 Durabilité)",,,,"Extension afin de bloquer les attaques
(Les boucliers ont typiquement +2 Gardes)",,,,,"Accroches permettant de piéger l’ennemi
(Son arme, son armure, ses membres, etc.)",,,
,"RIGIDE ou FLEXIBLE
( +ATQ ou +Durabilité )",,,,"AFFINEMENT
( -IRT & -Durabilité )",,,,,"FLAMBURE
( +GRD & -Durabilité )",,,
+X,"Concentrant les dégâts reçus et infligés
(Ex: Masses, katanas, etc.)",,,,"Afin de manier l’arme plus rapidement
(Poignard, Rapière, Estoc - ou à l’inverse, l’élargir)",,,,,"Vaguelettes aggripant les lames ennemies
(Demande plus d’entretien)",,,
"De base une Lame est multitête mais mêlée sur un même corps (épée à double tranchant et pointe) avec une garde, mais sans aucun autre Traits
Si les Faces en plus (Multitête) s’harmonisent en un seul tout = -1 Durabilité . Autrement +X IRT par X Faces",,,,,,,,,,,,,
ARMES IMPROVISÉE,,,,,,,,,,,,,
"Tout objet utilisé comme arme alors que n’y étant pas destiné (choppe, banc, tête, etc.) est une arme improvisée. A la fin du calcul, doubler son IRT et sa DRT (dans le négatif). Si ces valeurs sont à 0, +1 IRT ou -1 DRT, car elles ne sont ni pratique, ni faites pour ces actions guerrières.",,,,,,,,,,,,,
ARMES DE JET,,,,,,,ARMES DE TIR,,,,,,
"Le type de Dégâts d’un arc dépends du projectile tiré, et de la Puissance du tireur, limité par la capacité X de l’arc (augmentant son prix de 5X cO)",,,,,,,"Comme pour les arcs (voir ci-contre), sauf que la capacité ET l’IRT X d’une arbalète dépends de son mécanisme de bandage (voir la liste).",,,,,,
,À RÉPÉTITION,,,,À PENDULE,,,,,À MULTIPLES,,,
+X,Pouvant tirer 5X fois (+X cO au prix) avant d’avoir à recharger l’arme de 5X munitions,,,,Un second arc pré-bandé placé à l’opposé facilitant et ajoutant +1 dégât réorienté,,,,,"Tirant d’une seule attaque X munitions, faisant -X dégâts sur zone de X/2 Cases",,,
