﻿Armes d‘Hast,PRT 📐,IRT 💥,DGT ⚔,A,G,M,"DRT
💎","Prix
⚖"
Maillet,T.5,3,C++,1,1,5,,10
"Goupillon aspergeur
(tête à remplir)",,,C++,,,,-1,15
Masse à bosses/disque,,,"C+
C",,,,,10
"Massue
(empoignée)",,,C+,2,,4,,5
"Gourdin à piques
(empoigné, 2 têtes mêlées)",,,"C+
P-",2,,4,-1,5
"Hachette (de jet)
(à croches)",,,T++,,,6,-1,5
"Matraque
(empoignée, affinée)",,2,C+,2,,4,-1,10
"Piolet
(2 têtes)",,4,"C
P",,,,,15
Marteau,1,4,C++,2,1,4,,30
Masse lourde bridée,,,C,,,,,25
"Morgenstern
(2 têtes mêlées)",,,"C+
P-",,,,-1,35
"Hache de guerre
(à croches)",,,T++,,,5,-1,30
"Masse à griffes
(affinée, à croches x2)",,3,P,,,6,-2,20
"Marteau-piolet
(2 têtes)",,5,"C
P",,,,,30
Hache de bûcheron,,6,T++,,,,,5
Martel,1.5,5,C++,3,2,3,,50
Grande masse bridée,,,C,,,,,40
"Grande hache
(à croches)",,,T++,,,4,-1,45
"Hache double
(à croches, 2 têtes)",,6,T++,,,4,-1,60
"Martel-piolet
(2 têtes)",,6,"C
P",,,,,60
Bâton à poids,2,6,C++,4,2,2,,15
"Grande massue cloutée
(2 têtes mêlées)",,,"C+
P-",,,,-1,10
"Vouge
(2 têtes mêlées)",,,"T++
P-",,,,-1,25
"Bardiche
(2 têtes mêlées, à croches)",,,"T++
T--",,,3,-2,25
"Hallebarde
(3 têtes)",,8,"T++
T--
P-",,,,,30
"Bec-de-corbin
(3 têtes)",,8,"C++
P
P-",,,,,30
Bélier portable,2.5,1T,C++,5,2,1,,50
