﻿Caractéristiques des Peuples,,,,,,
Peuple,(T)aille,(S)tature,,(G)ras,,Dimorphisme
,,Homme ♂,Femme ♀,Homme ♂,Femme ♀,Entre ♂ & ♀
Yômmes,,,,,,
Aristois,Petite (-1),Équilibrée (0),Svelte (-1),Corpulent (+2),Égalisée (0),(+1) Typique
Griscribes,,Massive (+2),Large (+1),Égalisé (+0),,
Navillis,,Svelte (-1),Filiforme (-2),Replet (+1),,(+2) Grand
Méridiens,,Équilibrée (0),,Mince (-1),,
Yôrres,,,,,,
Hauts Ylfes,Moyenne,Équilibrée (0),Svelte (-1),Égalisé (+0),Replète (+1),(+1) Typique
Ylfes pâles,Petite (-1),Svelte (-1),,Grêles (-2),,(0) Réduit
Ylfes des lacs,Moyenne,Large (+1),Équilibrée (0),Mince (-1),,(+1) Typique
Iqqars,,Svelte (-1),,Mince (-1),Replète (+1),(0) Réduit
Bêstres,,,,,,
Slaadéens,Moyenne,Massive (+2),Massive (+2),Replet (+1),,(0) Réduit
Tchalkchaïs,Grande (+1),Svelte (-1),Filiforme (-2),Grêle (-2),Mince (-1),(+1) Typique
,,,,,,
