Caste des (A)ides - Emp,,
(-) Soutiens,(0) Animateurs,(+) Fêtards
1. Domestique soucieux,1. Circassien en troupe,1. Joueur puéril
"Il vous est plus facile de remarquer quand quelque chose n'est pas à sa place (un livre mal placé, poussière déplacée, etc…). Aussi vous savez rendre une pièce ou zone en désordre absolument propre comme inhabitée après une heure ou plus selon le désordre (sang, taches, corps, objets suspects, verrouillage, etc… compris).","Vous êtes membre d’une troupe avec qui vous avez des liens forts et vous aideront dans le besoin, ainsi qu’une une réputation de partout. Vous savez attirer les gens vers votre spectacle, et certaines fois, on vous demanda de vous produire pour des individus ou communautés de tous les horizons ce qui vous créa des contacts divergents.","Vous n'avez jamais grandi, ou peut-être jamais vieilli, ou encore retrouvé le sérieux de l'enfance lorsqu'elle s'amuse. Les enfants des autres sont plus susceptibles de se réjouir de vous après ou avant de vous avoir côtoyer, et vous savez aussi tout autant comment leur parler."
2. Soigneur compatissant,2. Bouffon-dompteur-magicien,2. Glouton festoyeur
"Vous descendez d’une lignée de guérisseurs et avez appris dès l’enfance à soulager douleur et angoisse avec baumes, pansements végétaux et potions. Réputé pour votre douceur et votre savoir-faire, nobles et villageois vous sollicitent. Vos passages en infirmeries militaires et civiles vous ont valu alliances et protections parmi soldats blessés et apothicaires influents.","Vous avez fait et savez faire un peu près tout dans votre domaine, passant d’une activité de spectacle à l’autre, avant d’en devenir le maître et directeur. Vous pratiquer toujours l’acrobatie, mais on vous respecte aussi pour votre position présente. Certains vous contacteront directement afin de vous représenter d’une ville à une autre et vous savez bien diriger autrui.","Vous seul savez et voulez savoir ce que vous avez dû manger afin de survivre de par le passé. Peu importe où vous mangez, ou ce que vous mangez, vous n'avez aucun dégoût lorsque vous ingérez quoi que ce soit et où que ce soit. Cependant, vous ne semblez pas avoir de goût pour les choses plus fines non plus."
3. Aide dévouée,3. Musicien enivrant,3. Buveur capricieux
"Votre service de longue date est reconnu parmi les dirigeants et ils sont plus à même de vous écouter si vos familles avaient des liens. Vous êtes perçus à travers la réputation de votre famille de travail. Vous savez parler avec les dirigeants, mais aussi les petites gens. Enfin vous savez traverser les zones légèrement gardées sans éveiller de soupçons à conditions d'y faire paysage.","Vous enflammez toute assemblée dès les premières notes, que ce soit sous les lampions d’une auberge ou devant une cour princière. Vos airs entraînants et vos facéties vous valent toujours quelques écus  -  parfois même un présent de mécène. Si votre instrument casse ou que votre voix faiblit, vous avez toujours un tour (danse, conte musical, pipeau) pour rallumer l’enthousiasme.","Buvant alcool dès que besoin se présente, vous avez tout de même des préférences. Était-ce votre premier alcool, ou alors c'est juste votre goût ? Qu'importe, vous en êtes totalement obsédé, et vous en êtes encore plus attiré et happé, pouvant boire de l'alcool au moins trois fois plus que la plupart avant tout effet ressenti, car rien d'autre n'a plus de valeur à vos yeux fatigués."
4. Désiré séduisant,4. Montreur de bête,4. Éducateur alcoolique
"Tous les clients seront prêts à payer s'ils peuvent s'amuser avec vous, et vous ne dépenser rien tant qu'à votre service. Certains vous sont hostiles par votre mode de vie, d'autres sont jaloux de nombre que vous attirez et vous veulent pour eux seuls. Certains vous aideront afin de vous mettre à l'abri du danger ou de la loi.","Votre animal peut vous aider pour des petites choses, comme vous apporter des objets ou être une simple distraction, et revenir vers vous par un simple sifflement lorsqu’hors de portée de vue. S’il meurt vous pourrez en dresser un nouveau ainsi en trois pentaines.","Vous êtes alcoolique avec un vrai problème, mais c’est aussi car cela vous aide à vous clarifier et organiser l’esprit. Vous êtes capable, lorsque juste assez mais pas trop ivre comme à votre habitude, de trouver les mots justes et simples afin d’expliquer votre domaine complexe afin que quiconque l’écoute puisse le comprendre."
5. Vécu torride,5. Conteur célébré,5. Addicte surenchérissant
"Perfectionnant l'art de la séduction et plus au fil de votre vécu et de vos besoins du passés, vous savez donner envie aux gens, et à force, vous avez un amoureux dans chaque lieu visité et vous en faite un nouveau à chaque nouvel endroit au cours de la première semaine. Enfin, vous savez comment courtiser tout humanoïde de toute race, nation, statut.","Vos contes ont atteint des pays lointains et êtes accueillis par la plupart, des cours aux tripots. Ou alors, pour les mauvaises raisons, personne ne veut vous écouter. Controversé ou révolutionnaire, ce ne sont que quelques fans convertis sur place qui vous soutiendront.","Lorsque sous l'emprise de toute drogue comme vous semblez toujours l'être ou vouloir l'être, vous êtes euphorique et semblez puissant et vous prenez des décisions plus risquées. Les effets de toutes les drogues sont deux fois plus grands, mais leur pouvoir addictif et les effets du sevrage semblent en être tout autant multipliés."
6. Esclave parmi les esclaves,6. Étoile scintillante,6. Fêtard invétéré
"Né ou fait esclave, vous étiez redevable à votre maître plutôt libéral, par sens du devoir ou peur et deviez accomplir ses tâches, vous récompensant en vous traitant bien. Si évadé, on vous recherche probablement, aussi, on cherche souvent à vous diriger, voir vous réclament, mais les indésirables et esclaves vous font confiance.","En gardant vos vêtements constants, les gens vous reconnaissent comme l'artiste itinérant sur scène qu'ils virent auparavant, sinon ils ne vous remarqueront pas. On peut vous demander de vous produire, vos secrets ou des autographes, en échange d'argent voire plus que cela.",Votre arrivée dans toute ville rime avec une vague d'excitation des profiteurs se donnant beaucoup de mal afin de vous inviter à leurs fêtes. Les bonnes auberges et les tailleurs vous offriront des rabais importants et vos rivaux vous chercheront afin de juger leur compétition.
