Caste des (A)rtisans - Dex,,
(-) Fournisseurs,(0) Fabricants,(+) Ingénieurs
1. Échanson rôdé,1. Goûteur marmiton,1. Apothicaire à la main verte
"Une fête est aussi bonne que votre lieu, sa nourriture, ses boissons et sa musique. Vous connaissez assez de monde et vu de produits pour ne pas vous faire avoir dans les prix. Afin d'embaucher quelqu'un ou pour tout achat de produits alimentaires, réduisez le cout total par 4D6%.","Vous savez communiquer à travers vos plats bien plus qu'une bonne saveur, mais aussi intellectuellement significatifs capable d'envoyer un message. Vous pouvez aussi charmer au travers de votre cuisine, en nourrissant ou cuisinant devant eux, et vos préparations en public sont des représentations divertissantes.","Vous savez distinguer les différences mineures entre deux potions d'apparence similaire, négocier le prix de potions ou d'ingrédients, et identifier les utilisations de composant après quelques heures, ou si une plante est nocive, bénéfique ou banale, et en prenant des notes de la comprendre entièrement (goût, besoins, etc…)."
2. Petit gens innocent,2. Cartographe mental,2. Collecteur d’artéfacts
"C'est peut-être votre présence innocente, ou votre humble nature, voire d'avoir toujours l'oreille ouverte, en tout cas, vous êtes facilement rejeté comme hors de propos par la plupart, comme si vous n'étiez pas présent. Simple serveuse, tavernier ou homme de main, vous ramasser toutes les rumeurs actuelles mais entendez aussi des conversations très importantes. Mais vous êtes aussi souvent ciblé à la suite de votre naïveté.","Vous ne vous perdez jamais en zone que vous avez cartographié, en plus d'avoir une bonne mémoire pour les cartes et la géographie, vous savez la topographie, les foyers et autres Attributs aux alentours. Enfin, vous savez dessiner une carte d'un lieu visité et issue de votre mémoire.","Maîtrisant parfaitement les connaissances sur les objets de grande valeur, vous savez voir leur valeur au fil des époques, estimant celle-ci à n’importe quel moment de votre existence (un casque avant qu’il ne soit rouillé par exemple). Aussi vous savez quand ils ont été touchés par des personnages célèbre, ainsi que votre objectif originel, votre prix de vente et acheteur potentiel."
3. Rôtisseur professionnel,3. Maçon efficace,3. Mécanicien multifonction
"Vous savez gagner votre vie comme cuisinier, ainsi que, sans vous peiner, nourrir vos compagnons de repas modestes chaque jour, hormis lieux défavorables. Enfin, vous savez aussi organiser des réunions attirantes ceux intéressés par un repas gratuit, ou encore d'offrir un repas afin d'obtenir une de ses faveurs.","Vous êtes en mesure, en tant qu'expert en architecture, d'identifier la plupart des structures créées par des humanoïdes, mais aussi d'élaborer en une journée des plans pour des bâtiments dont le chantier de construction restera à l'heure.","Grâce à votre savoir des outils, des machines ou tout autre procédé mécanique, vous savez facilement déterminer beaucoup de chose sur tout mécanisme simplement en le regardant, et d'en découvrir ses composants et ses fonctions en l'étudiant un peu plus."
4. Mon bon tavernier,4. Expert de la paresse,4. Expert réseauté
"Le tavernier anonyme est toujours celui à qui on tend à se confier. Les étrangers rencontrés et ne vous étant pas hostiles sont prêts et vous ont révélé des secrets, mêmes sombres, surtout avec un verre à la main. Enfin, vous savez aussi comment agir en auberge afin d'obtenir un ou deux verres gratuitement.","Vous savez vous fondre avec des artisans plus qualifiés afin d'apparaître comme deux fois moins compétent que votre véritable niveau d'une manière crédible si vous le désirez. Aussi, savez faire autant en faisant moins que les autres, vous tendez à produire les mêmes résultats, mais en dépensant moins d'énergie que la plupart.","Vous avez construit un réseau de collègues coopérant plus ou moins sur certains projets et pouvant vous aider. Ils n'abandonneront pas tout, et c'est une relation allant dans les deux sens, vous demandant de l'aide aussi, et vous rencontrant au possible de chacun."
5. Cuisinier demandé,5. Dilettante vagabond,5. Génie incompris
"Vous trouvez toujours un endroit où l'on a besoin de vous  -  auberge, théâtre, voir une cour. Ainsi, on vous offre gratuitement l'hébergement et vous tendez à vous en faire une réputation telle une figure locale, et les étrangers vous reconnaissant vous sont typiquement amicaux.","Il est coutume qu'après votre apprentissage, on se déplace afin d'apprendre des autres. Tous les maîtres vous hébergeront et offriront accès à leurs outils et installations. En les observant, vous obtîntes une compréhension générale, identifiant tout outils, et sachant comment aider tout artisan en leur travail.","Personne ne comprend ou n'apprécie votre découverte capable de changer la société, qui manque de moyens afin d'en tirer le meilleur parti. Si on vous persécute, votre savoir vous donne une longueur d'avance. Enfin, vous êtes tout de même une célébrité, et certains voudront vous inviter pour votre savoir novateur."
6. Éleveur de bêtes rares,6. Forgeron de l’ombre,6. Alchimiste mal-vu
"Vous avez grandi entouré d’animaux exotiques, apprenant dès votre plus jeune âge à les comprendre et à les soigner. Aujourd’hui, vous êtes un éleveur réputé, spécialisé dans les créatures rares et souvent dangereuses. Vos bêtes sont prisées pour leur force, leur beauté ou leurs capacités uniques. Vous avez développé une connexion presque mystique avec vos animaux, ce qui vous permet de communiquer avec eux d’une manière que peu peuvent comprendre. Cependant, cette relation spéciale vous isole souvent des autres.","Vous êtes un maître forgeron, capable de travailler avec des métaux rares et enchantés. Vos armes et armures sont réputées pour leur qualité exceptionnelle et leurs propriétés magiques. Cependant, vous préférez travailler dans l’ombre, loin des regards indiscrets. Les rumeurs disent que vous avez forgé des armes pour des causes obscures et des seigneurs de guerre mystérieux. Votre passé est un tissu d’ombres et de secrets, et ceux qui cherchent vos services doivent souvent payer un prix plus élevé que l’or.","Vous êtes connu pour vos connaissances profondes en alchimie et en mysticisme. Vos potions et élixirs sont réputés pour leurs effets incroyables, allant de la guérison miraculeuse à l’octroi de pouvoirs temporaires. Vous passez des nuits entières dans votre laboratoire, entouré de grimoires anciens et de substances étranges. Malgré vos succès, vous êtes souvent considéré comme un charlatan par les savants traditionnels, ce qui ne fait qu’alimenter votre désir de prouver la véracité de vos découvertes."
