Caste des (G)uerriers - For,,
(-) Champions,(0) Mercenaires,(+) Soldats
1. Artiste martial,1. Garde personnel aguerri,1. Garde bien placé
"Vous êtes un guerrier, mais votre désir de perfectionnement et de grâce en fait de vous un artiste aussi. Vous savez convaincre de vos techniques parfaites, rester calme dans la majorité des situations et avez un très bon équilibre. Certaines personnes dans le besoin, d’un peu partout, vous demanderont conseil pour leur vie.","Vous avez suffisamment vu la pègre criminelle et mise aux derrière les barreaux pour bien les connaître. Vous pouvez vous fondre dans la foule et savez protéger vos objets du vol, mais aussi repérer les potentiels dangers criminels ainsi que lire le voisinage et sa disposition, notamment s’il change vers la violence.","En tant que garde, on bénéficie de la solidarité et de l’appui des autres gardes et des habitants locaux, qui ferment souvent les yeux sur les infractions mineures, évitent les conflits et peuvent offrir de l’aide en cas de besoin, sauf ordre contraire d’une autorité supérieure. Les garnisons locales sont toujours ouvertes aux leurs."
2. Grand vainqueur,2. Bourreau intimidant,2. Aide de guerre
"Vous avez gagné une compétition importante qui vous créa un grand renom voire un titre que vous portez peut-être encore. Vous avez un Communauté d’adorateurs que vous savez maintenir, on vous recherche souvent, et certains voudraient vous patronner afin d’associer leur nom au votre.","Roturiers et criminels craignent notre présence, ne nous dénonçant pas pour des délits mineurs et sont enclins à partager des informations pour obtenir la paix. Toutefois, les plus puissants restent indifférents à notre réputation.","On est médecin de guerre, à la fois soldat et conseiller, soignant le physique et le mental. Respecté des deux côtés du conflit, votre uniforme apporte réconfort. Où qu’il aille, accueilli par tous, des soldats aux villageois qui cherchent soins et conseils. En aidant, on se bâtit un réseau d’entraide et de contacts."
3. Pilote privilégié,3. Escorte armée reconnue,3. Militaire reconnu
"On sait que vous en particulier savez piloter véhicules et conduire montures de par votre historique de cocher ou compétiteur. Si vous chercher à en obtenir, on vous prendra tout de suite au sérieux contrairement à un profane. Vous connaissez toute l’histoire des courses environnantes, leurs forces et défauts ainsi que leurs ambitions futures.","En tant qu’escorte musclée, vous avez voyagé et vécu, et prévoir le danger en vérifiant les informations utiles auparavant. Vous trouvez toujours un ancien client, ou partenaire embauché pour travailler avec vous, ou que vous avez-vous-même recruté, dont vous êtes généralement en règle avec. Vous savez prendre des coups à la place de vos clients s’ils sont à votre contact.","Vous avez un grade militaire issu de votre carrière de soldat. Vos anciens vous sont fidèles et dévoués si inférieurs. Ce grade peut servir d'influence auprès d'autres soldats ou rejoindre des amicales militaires. En servant en guerre, cela augmenta votre présence, et avez établis des liens forts qui peuvent s'avérer utile."
4. Brute fracassée,4. Mercenaire chasse-prime,4. Agent débriefé
"Êtes-vous vraiment un athlète ou juste quelqu’un qui souhaitait se défouler ? Quoi qu’il en soit, c’est votre réputation et blessures qui font trembler le peuple général, mais habituellement pas la hiérarchie, sauf s’ils vous voient en personne. On voudra vous accommoder au possible afin de vous éviter, et certains désireront prendre leur revanche sur vous un jour ou l’autre.","Vous avez vendu vos services au plus offrant, toujours parcourant les lieux en quête d'un contrat martial ou de têtes à primes, en trouvant toujours travail après quelques heures en ville, parfois s’avérant moins admirables face à votre code et nécessitant de vous un compromis. Vous avez une capacité à vous rappeler des détails spécifiques issus de conversations ou de noms entendus en lien avec votre prime, capable de les esquisser et d'identifier et traquer leurs indices.","Vous exécutez la loi et avez un statut spécial dans votre région. Vous pouvez ordonner (dans la loi) des gardes de rang inférieur à vous, et on vous informera de la criminalité présente, qui s'intéressera à vous elle-aussi. Enfin, vos supérieurs vous donneront des comptes-rendus de la situation avant toute mission si demandée. En entrant dans une nouvelle ville vous remarquer vite les endroits à dangers, ses sources d'eau ou de sable et savez organiser des brigades anti-feu."
5. Champion de mécène,5. Investigateur privé,5. Déserteur pitoyable
"On vous a rapidement remarqué pour vos talents et financé pour cette raison. Vous savez convaincre les gens de vous patronner, et ce mécène est aussi un contact connaissant beaucoup de personnes plus ou moins influentes dans d’autres domaines. Enfin, vous ne ratiez jamais une compétition et on vous invite souvent aux fêtes.","En tant qu’investigateur privé, on est connu pour sa capacité à résoudre les mystères, avec un accès privilégié à des lieux fermés au grand public, y compris des scènes de crime et des cellules de détention. On peut aussi obtenir des rencontres avec des suspects et accéder à des documents confidentiels. On sait se montrer convaincant devant un tribunal, et les gens sont moins disposés à mentir, ce que l’on détecte habilement.","Vous aviez servi dans l'armée, mais ce que vous avez vu ou fait créa votre désertion. Les militaires ne vous aiment pas et chercheront souvent à vous détruire si découvert. Mais les gens ordinaires vous reconnaissent et parfois vous aideront, et vous savez traverser une ville deux fois plus vite, connaissant ses raccourcis."
3. Maître athlète,6. Assassin agréé,6. Enquêteur militaire
"Vous connaissez les secrets de l'entraînement et les autres maîtres et méthodes de votre domaine. Vous savez enseigner votre savoir athlétique aux autres, et on cherche de partout à apprendre de vous. Vous avez quelques initiés qui vous sont plus ou moins fidèles et une réputation qui vous ouvres quelques portes.","Grâce à votre vie d’assassin agréé, les organisations criminelles tendent à vous craindre, et les gens supposent que vous avez le droit d’être où que vous soyez, vous accommodant au possible et pour éviter votre mécontentement, certaines puissantes vous considérant même comme un égal, mais dans le ressentiment.","Vous avez enquêté bien longtemps, les innocents vous sont plus disposés lorsqu’il s’agit de justice et les hauts fonctionnaires peuvent vous quémander plus souvent. Votre position au sein de votre peuple vous permet du questionner plus aisément (petite gens, marchands, dirigeants, etc…). Ils ne sont pas plus aimables ni honnête, mais ils répondront à vos questions pertinentes."
