Caste des (M)archands - Per,,
(-) Bureaucrates,(0) Commerçants,(+) Charlatans
1. Scribe fonctionnaire,1. Magasinier ambitieux,1. Lecteur de fortune
Vous êtes lié au fonctionnements internes à votre société et votre vie a tourné autour des chiffres. Vous savez les mathématiques complexes et avez des amis dans la hiérarchie et êtes accepté en société. Votre sceau est un signe de crédibilité dans la loi et demandez des dossiers sur certains n'attire pas les soupçons.,"Votre famille ou vous-même étiez propriétaire d'un magasin généraliste, grandissant en tant que tel et savant vendre une peau à un ours. Vous savez aussi convaincre les commerçant de vous acheter ce qu'ils ne voudraient pas habituellement, ainsi que des bonnes affaires auprès d'eux, cadeaux ou réductions.","Vous avez acquis une réputation de charlatan mais aussi de quelques fanatiques croyant en vos talents de prédicateur du futur, vrais ou pas, sincèrement ou non. Vous savez pratiquer toutes les formes de prédiction en utilisant les signes typiques (cartes, mains, etc…)."
5. Messager de tous,2. Riche fortuné,2. Joueur arnaqueur
"Après vos années en tant que messager, vous avez appris les aménagements similaires au sein des villes et colonies. Vous savez trouver votre chemin en ces lieux peuplés, mais aussi d'y obtenir informations ou d'y travailler encore, voire savoir où vivent les personnes d'importance ou lieux d'intrigues et d'évènement, en plus de pouvoir délivrer tout message sans soupçon.","Vos relations précédentes vous ont rendu riche bien avant de vous lancer dans votre vie présente. Bien que ces possessions ne soient pas forcément accessibles directement, tant qu'une forme de banque s'y trouve, vous pouvez y vivre riche gratuitement, sans oublier d'y faire nombreux jaloux et potentiels ennemis.","Votre vie c'est la chance, mais aussi savoir quand elle est en votre faveur. Vous savez résoudre et exploiter un avantage dans un jeu de hasard, et savez tous les pièges typiques de la maison ou des autres joueurs voulant vous arnaquer. Vous savez convaincre quelqu'un de parier sur ce qu'il ne voudrait pas, s'il estime les chances de votre côté. Enfin, vous savez quand quelqu'un cache quelque chose, d'une demi-vérité à un poignard."
3. Instigateur réseauté,3. Commercial entrepreneur,3. Forain et plus
Vous savez comment fonctionne le gouvernement et en utiliser ses ressources pour fluidifier ses actions. Vous savez faire changer les choses qui vous déplaisent rapidement à travers le système. Votre institution vous aidera et connectera à d'autres contacts ou ressources réputés contre des faveurs.,"Vous savez acheter et vendre, ainsi que la valeur des choses banales, mais aussi gérer des employés et les enseigner. Certains contacts vous proposeront des gros lots pour la moitié du prix. En plus de cela, vous savez tout sur votre spécialité sans savoir les faires nécessairement et vous avez totale confiance en ce sujet, jusqu'à en ennuyer tout le monde.","Vous êtes un circassien, mais aussi lié à de nombreuses autres activités habituellement illégales. Vous savez à qui parler afin de trouver les lieux alternatifs et les organisations criminelles des environs, qui tendront aussi à vous reconnaître comme potentielle personne à contacter pour vos compétences et situation pratique."
4. Diplomate intuitif,4. Éditeur connecté,4. Prestidigitateur merveilleux
"Vous êtes un avocat reconnu et avez accès aux institutions de la loi, rédiger ses documents et fournir ses conseils propices, mais aussi ses failles et méthodes de contournement. Dans un pays étranger vous connaissant, vous évitez les sanctions de délits mineurs, et en mission, la hiérarchie vous écoutera, et vous savez lors de toute négociation au moins un désir de chaque parti.","Vous av(i)ez une petite entreprise ou mouvement se chargeant de la publication de certains livres. Vous pouvez organiser des réunions auprès d'autorités compétentes sur un sujet d'écriture (un historien, un guide, etc…)","Vous savez attirer et retenir l’attention des autres, généralement sur vous et votre acte, et non pas sur vos astuces, assistant complice, ou le rongeur dans votre chapeau - cela s’applique dans tous vos tours, aussi petits ou grandioses qu’ils puissent l’être."
5. Politicien important,5. Rentier gérant,5. Bouffon pyromane
Vous avez une présence notable auprès des gens et on vous considère comme de grande réputation. On vous traite comme un haut-placé et pouvez avoir des audiences avec d’autres personnes importantes ou du gouvernement. Le peuple vous trouve accessible et souhaite vous parler et partager ses problèmes.,"Laissant votre entreprise derrière vous mais gardant toujours votre mot à dire sur sa gérance, en accomplissant des devoirs pour celle-ci, vous obtenez un salaire mensuel proportionnel à ce qu'elle est et votre implication, enfin, elle est aussi probablement capable de fournir certains services et contacts liés à votre expertise.","Vous savez tout brûler, et c’est tout ce qui importe et vaut d’être vécu ! Vous avez un bonus pour mettre le feu aux choses et pour y résister, ainsi que pour manipuler les choses enflammées. Vous savez trouver des opportunités pour votre spectacle même si cela n’est pas évident au départ. Enfin, les gens tendent à ne pas soupçonner légalement un simple imbécile."
6. Archiviste pratique,6. Antiquaire estimateur,6. Gymnaste aux deux vies
"Votre organisation collecte des informations sur des potentielles expéditions et les financent et vous y envoient quelquefois au vu de votre expérience en ces matières, et revendent certaines trouvailles s'ils ne les gardent pas dans des temples ou musées auxquels vous avez accès.","A chaque fois que vous apercevez quelque chose qui pourrait avoir de la valeur, vous savez l'estimer votre prix et obtenir des informations intéressantes à votre sujet (s'il y en a). Aussi, si vous échouer votre estimation, vous savez où trouver un endroit afin d'en juger sa valeur (hormis objets incroyablement rares).","Votre vie est plus dure que celle admirée par
vos adorateurs, devant agir dans l’ombre afin de
survivre, gagnant aussi une réputation secrète
de quelqu’un sachant se salir les mains. Des types
louches peuvent vous aborder et quémander, ou ce
serait peut-être vous qui pourrez leur demander
leur aide qu’ils procureront sûrement."
