Caste des (É)rudits - Cré,,
(+) Chercheurs,(0) Sages,(+) Artistes
1. Mystérieux étranger,1. Ésotérique intrigué,1. Artiste local
"Vos voyages vous laissent souvent tel un inconnu au milieu de l'inconnu, les gens vous ignorant presque, ne se souvenant pas de vous comme étant d'importance, qui qu'ils soient. Souvent, vous ne savez pas d'où vous ne venez ni comment, et personne d'autre non plus. Hormis quelques indices ne pouvant être niés, on tend à ne jamais vous prendre pour quelqu'un d'autre.","Vous connaissez les notations alambiquées et autres cryptographies et savez les déchiffrer sans problème. Vous pouvez créer vos propres codes tels des messages à d'autres déjà informés. Mais le déchiffrement, décodage ou création d'autres plus complexes reste plus difficile.","Car votre art est connu dans votre cité ou région où votre talent se révéla en premier, les dirigeants pensent en bien de vous jusqu'à collectionner vos œuvres et vous offrir un mécénat afin de vivre confortablement gratuitement et vous pouvez trouver vos outils et matériaux pour le quartier de leurs prix originels."
2. Polarisateur extrême,2. Étudiant perpétuel,2. Barde fascinant
"Peu importe où vous êtes, vous rencontrer des gens à nouveau, pratique parfois sur la route, mais moins lorsque déclenchant une bagarre en entrant simplement dans une auberge. Certains amis vous aideront ou demanderont de l'aide, alors que vos ennemis vous bannissent et recherchent malgré votre de discrétion.","Si vous cherchez à apprendre un nouveau savoir ou à vous en souvenir d'un appris, vous savez souvent où et de qui vous pouvez l'obtenir, habituellement d'un lieu de savoir (temple, sage, académie, etc…), à la limite de l'importance et la difficulté du savoir en question. Enfin, vous êtes capable de rechercher plusieurs livres à la fois et de trouver la plupart des savoirs dans ces lieux.","Où que vous soyez, quelqu'un vous reconnaît, et savez comment et où rassembler les gens et avec assez de temps et d'espace, former une foule de dizaines sous prétexte de montrer une galerie ou autre, et l'un d'entre eux sera peut-être un mécène potentiel de vos œuvres."
3. Sorcier controversé,3. Chercheur accrédité,3. Poète politique
"Vous comprenez la vie et la mort et en avez fait votre domaine d’étude voire de pratique, incitant les gens à vous éviter sauf ceux qui sont proches de vos croyances de sorcellerie critiquées. Enfin, vous savez voir le deuil d’un proche, ou la naissance d’un autre dans les visages.","Votre certificat vous identifie en tant que chercheur, vous permettant d'entrer dans tout lieu académique ou accordant une audience avec ceux normalement inaccessibles. Enfin, on vous fait confiance pour vous occuper de ces tomes et manuscrits, voire de les emprunter.",Vous vous êtes fait un nom à travers vos œuvres qui soulignent les failles de votre société. Les membres de Communautés souhaitant le renversement de ce même système vous apprécient voire soutiennent pour vos œuvres satiriques et controversées.
4. Caméléon mondain,4. Scribe linguiste,4. Idole de quelques-uns
"Vos incessants voyages vous ont apporter des informations et liens dans vos lieux voyagés. Vous y connaissez une personne sympathique locale et en passantun Heure par jour dans un nouvel endroit, vous faite une observation importante. Loin de votre patrie et vivant chez les autres, vous savez comprendre l’étranger et ses habitudes. Un peuple vous influença plus que les autres et vous considère amicalement.","En entrant dans toute ruine, donjon ou autres, vous savez correctement déterminer votre objectif initial, ainsi que ses constructeurs (ethniquement), mais vous savez aussi en déterminer la valeur monétaire de tous les objets d'art vieux de plus d'un siècle (""anciens""). Vous savez ressentir les éléments clés sachant lorsque vous êtes sur le point de découvrir quelque chose de spécial lors d'une expédition, vous donnant un aperçu, ou réduisant la durée d'une fouille à quelques heures plutôt que des jours ou années","Vos créations sont importantes pour ceux qui vous suivent, accumulant des adorateurs répandus ou petits mais fanatiques. Vous rencontrez toujours un fan qui peut vous aider si c'est pour avoir un aperçu de votre œuvre prochaine, un autographe ou tout autre marque."
5. Aubaine du guérisseur,5. Folkloriste extraverti,5. Avant-gardiste
"Connu comme guérisseur, on vous protège ou soutient dans tout lieu civilisé en échange de vos efforts souvent sollicités et respect. Vous savez identifier si une substance est nocive ou utile, les maladies et blessures et connaissez bien l’anatomie humaine et savez traiter aisément toutes les formes banales de maux, et ceux qui vivent avec vous sont généralement en meilleur santé.","Où que vous soyez en n'importe quelle culture vous savez trouver quelqu'un pour la partager avec vous. Les gens vous sont amicaux par votre respect pour leurs traditions ainsi qu'en partagent des histoires avec eux. En leur absence, vous savez mieux trouver des réserves cachées de ces savoirs.","Vous savez quels modèles et couleurs insulteront ou apaiseront une certaine culture ou un certain Communauté social, mais aussi savez reconnaître par la simple vue le tailleur ou créateur d'un ensemble de vêtements élaboré."
6. Moîne ermite,6. Académicien de renom,6. Artiste rémunéré
"Vous êtes à l’écoute des sons des créatures autour de vous en milieux naturels, sachant dire quand il y a un danger ou quelque chose d’anormal se passant. Vous savez produire les simples nécessités de survie (feu, nourriture, abri, etc…), ainsi que retenir votre souffle, ne pas manger, rester éveillé et endurer le climat jusqu’à deux fois plus longtemps que la norme.","Dans votre domaine, vous vous êtes fait une certaine réputation, et en voyageant, vous savez trouver un lieu ou une personne en lien avec celui-ci et en recevoir de l'aide ou des informations, dont ils seront bien susceptibles de vous aider.","Vous avez un ami ou mécène vous trouvant engageant, et même si vous ne l'êtes par forcément, vous l'avez cultivé comme ressource fiable lors d'urgences, de prêts, faits ou rumeurs intéressantes. Il est prêt à vous soutenir, et par sa recommandation pourrez en trouver un autre si vous changer de lieu."
