﻿Facteurs d’Affinités Riliques,,,,,,
DÉS,Préparation,,DÉS,Focalisation,Sonorité,Visibilité
-15,Clin d’Oeil,,-3,"Charge/Galop
(Distraite)","Muette
(Silence)","Aucune
(Imperceptible)"
-10,3 Clins | 1 Souffle,,,,,
-6,10 Clins | 1 Respiration,,-1,"Marche/Monte
(Inattentice)","Chuchotée
(Bruit de fond)","Discrète
(Subtile)"
-3,30 Clins (telle une Idée),,,,,
-1,100 Clins (telle une Pensée),,0,"Immobile
(Vigilante)","Parlée
(Brouhaha)","Normale
(Manifeste)"
0,Instant (telle une Prière),,,,,
+1,Heure (tel un Rite),,,,,
+3,Veillée (tel un Rituel),,+1,"Concentrée
(Immergée sauf si dérangé)","Criée
(Vacarme)","Exagérée
(Flagrante)"
+6,Matinée (tel un Festin),,,,,
+10,Jour (telle une Fête),,+3,"Méditative
(Obsessive malgrès tout)","Hurlée
(Cacophonie)","Périlleuse
(Imposante)"
+15,Pentaine (tel un Festival),,,,,
,,,,,,
