Héritages,,
(-) Physiques,(0) Mentaux,(+) Sociaux
(---) Pâlefantôme,(0--) Élu envouté,(+--) Enfant de Needch
"Vous êtes absolument pâle, parfois blond platine voir roux blond, et aux yeux clairs, gris, bleus voire rouges. Vous brûlez plus vite au soleil et avez une mauvaise vision, en revanche étrangement, vous sembler plus stable émotionnellement, particulièrement dans les lieux sans lumière et sur le long terme.","Qu'elles qu'en soient les raisons, vous semblez bien plus influencé par vos croyances, vos attentes, vos motivations et vos conditionnements vous soignant ou blessant plus en fonction de celles-ci  -  même si la chose en question n'a normalement pas d'effet. Lorsque vous vous soignez de quelconque façon, vos appréhensions inconscientes et conscientes sur cette forme de traitement vous influence bien plus que chez les autres.","Vous semblez toujours faire les choix les plus difficiles et dangereux, consciemment ou non. En d'autres termes, vous échouez de manière critique plus que la normale mais vous avez apprenez bien mieux."
"-3X Dés contre les Irradiations, et à la [Vision]
+3X Dés contre les Rancoeurs et les Irriliations, passant à +6X Dés lorsqu’en un lieu sans lumière","Tous les Succès/Échecs d’un Médecin sont multipliés par X. Avec toute chose n’ayant d’habitude pas d’effet, celle-ci aura XdD d’effet sur vous (noter le résultat, désormais elle aura cet effet)","Votre Chiffre Port-Malheur commence à -X et ne peut jamais baisser en dessous de -X
Quand échouez un de vos pire choix, +X Marques dans la Compétence d’Action liée à celui-ci"
(--0) Battu avec un bien sale bâton,(0-0) Bébé barbu,(+-0) Sqoulqqidz
"Vous êtes moche, il n'y a pas d'autre mot pour vous décrire, à moins que hideux ne vous convienne mieux. Les enfants vous fuient en terreur et même la plus charitable des âmes trouve qu'être à vos côtés est difficile. Mais par chance votre maltraitance donna en échange une bonne résistance.","Mère Nature peut être une mère dure. Vous êtes né avec un système immunitaire extrêmement faible et autres tares physiques. Mais tout n'est pas perdu, car vous avez en revanche hérité d’une excellente réflexion.","Vous avez été abandonné au milieu de la forêt. Vous avez été élevé par la nature et ce changement radical vous dressa à être perceptif et adroit, ainsi que capable en ces milieux. Mais vous ne connaissez rien de la vie en société et avez vécu une vie dure vous rendant grandement incapable socialement."
"+X VIG, -X Charisme
","+X CRÉ, +X PER, -X VIG, -X FOR
","+0.5X PER, +0.5X DEX, -X Charisme"
(--+) Brute attardée,(0-+) Exalté lubrique,(+-+) Gamin du héro
"Vous êtes nés ou avez reçu un trauma vous rendant complètement handicapé mentalement. 
En revanche, dans la violence, la frustration et la haine, ce qui vous arrive un peu trop souvent, vous vous donner toujours à fond, inconsciemment, et semblez être incroyablement résistant et fort… Mais ceci est plutôt le résultat de votre incapacité à vous jauger et juger.
","Rien n'arrête votre ouverture, extraversion, persévérance et la recherche de sensations. Extrêmement lubrique infatigable et d'une positivité maladive à l'extrême, en revanche vous semblez être plus instable et sensibles aux aléas de l'esprit.","Vous commencez avec l'arme de votre père (bonne qualité), et êtes connu dans les terres comme le fils d'un héros. Un acte maléfique sera donc reçu avec une terrible et négative réaction."
"Ajoutez tous 3X Dés de Rancoeurs et de Folies comme Dés positifs à tout jet lié au combat.
-X CRÉ & EMP","+X VOL, +X EMP, mais pour tout Souffrance de Folie ou de Rancœur reçu, recevez X DS supplémentaires","+X Marques négatives reçues dans votre Titre lié à vos actions négatives, mais vous commencez gratuitement Arme de Qualité +X."
(-0-) Mollusque,(00-) Monstre savant,(+0-) Aristocrate dégénéré
"Vous êtes né extrêmement plus souple que la moyenne, vous pouvez vous plier de façon typiquement inhumaine et déboiter les articulations afin d’y parvenir. Malheureusement, il semble que votre santé en pâtisse d’une façon ou d’une autre.","Vous êtes mentalement handicapé et rejeté de la société de laquelle vous faisiez partie. Vous êtes brillant, particulièrement avec les mathématiques et la mécanique, mais vous ne pouvez à peine parler. Cependant vous êtes un être faible physiquement et émotionnellement et vous parlez comme si vous étiez retardé. ","Vous êtes devenu orphelin étant enfant et avez hérité de beaucoup d'argent. Votre famille semble avoir depuis plusieurs générations perdues de la détermination qui l’amena aussi haut. Presque tout l'argent a été dépensé, mais vous commencez tout de même avec un plus haute richesse."
"+X Agi, -X Vig","+X PER & +X CRÉ
-0.3X FOR, DEX, AGI, VIG, VOL, EMP","Richesse de départ multipliée par 2X, -X VOL"
"(-++) 
Choisissez un Héritage Physique","(0++) 
Choisissez un Héritage Mental","(+++) 
Choisissez un Héritage Social"
