Héritages,,
(-) Physiques,(0) Mentaux,(+) Sociaux
(-00) Géant (+) / Nain (-),(000) Fanatique maniaque,(+00) Casse-nouille agité
"Vous êtes le résultat hasardeux de la nature et posséder une taille extrême pour votre peuple quel qu’il soit. Si vous êtes un géant vous gagnez en force mais perdez en agilité. Autrement, vous êtes bien plus bas que la moyenne de votre peuple. En tant que nain, vous gagnez en agilité mais perdez en force.","Vous possédez une personnalité extrême. Les gens réagiront d'une manière plus extrême à vote présence, et tendrons à vous aimer, ou à vous haïr !","Vous êtes toujours actif et réactif tel l'éclair. Votre adresse est plus haute que la normale, mais tout le monde vous trouve profondément embêtant."
"+0.5X FOR, +0.5X Catégories Taille, -0.5X AGI 
+0.5X AGI, -0.5X Catégories Taille, -0.5X FOR","Sur et pour toute la discussion, lancer 1dD. Sur - ou +, alors -3X ou +3X à vos jets de Charisme","+X Dex, -X Charisme"
(-0+) Mur de muscle,(00+) Pisse-la-nuit,(+0+) Mangetout
"Depuis toujours, vous êtes extrêmement musclé, même enfant cela se dessinait déjà. Il faut tout de même s'entraîner, mais la quantité de muscle produite est extrêmement plus grande que chez tout le monde. Votre simple quantité de muscle absorbent aussi plus de dégâts ou poisons. En revanche, cette masse semble vous pénaliser dans la grâce et précision, bien que cela puisse être développé un jour. Enfin, votre stature augmente (sans appliquer aucun des modificateurs associés).","Vous êtes terrifié par le noir depuis toujours. Vous restez constamment attentif, lorgnant chaque ombre et coins sombres, mais souffrirez d'une attaque de panique si vous vous trouvez dans une zone trop sombre, vous infligeant incapable psychologiquement, mais votre peur vous fera gagner en force.","Vous avez depuis toujours un appétit pour ce qui n’est pas nutritif, ainsi qu’apparemment une épaisse paroi de l’estomac et des intestins vous permettant de consommer du métal tranchant sans subir de blessures, mais aussi des sucs digestifs puissants, pouvant digérer des matières inhabituelles. 
Vous êtes rarement malade d’une telle diététique, mais les aliments mous, eux, vous rendent souvent malade en revanche."
"+0.5X FOR, +0.5X VIG, +0.5X Catégories de Stature -0.5X AGI, -0.5X DEX","+X PER, lorsque dans le noir +X Niv aux jets de FOR Mais : +X Souffrances d’insanité par Malde Folie reçu et -X Niv aux jets de DEX, PER, VOL","+X Niv sur les jets d’[Entraille], mais -X Niv sur les jets d’[Entraille] si consommant d’éléments mous"
(-+-) Écorché-vif,(0+-) Enflure perfide,(++-) Né sous un signe
"Vous êtes né sans la capacité de ressentir toute douleur physique, sauf le froid et le chaud. Perdre une ou deux jambes n'est même pas une égratignure pour vous. Vous ne subissez aucune pénalité mentale liée à vos blessures, ni celle associés à la thermorégulation, jusqu'à tomber dans l'inconscience. En revanche, vous et tout médecin ne sauront que rarement quand vous êtes blessé et où, sauf si visible, ni de savoir où en est la guérison, et étrangement, vous avez perdu tout odorat.","Vous êtes né ainsi, calculateur, indifférent et sans aucune empathie. Vous connaissez le plaisir et le désagrément, mais tout le reste émotionnel semble étranger. Bien qu'impulsif, vous vous prospérez sous la pression, faisant preuve d'une grande volonté, et êtes hautement logique, vous permettant de survivre dans les entourages sociaux.","Vous êtes né lors d'un évènement astronomique ou du moins tout évènement important do votre vie semble être extrême et exagéré. En résultat, vos échecs et coups critiques sont spectaculaires."
"Annuler 3X DS lors de tout jet, mais
-3X Dés aux jets de [Médecine] pour détecter ou soigner les maux et -3X Dés aux jets d’[Odorat].","-X EMP, +0.5X VOL, +0.5X PER","Augmenter de +X Niv vos Echecs et Coups critiques, les rendant encore spectaculaires.
Choisissez directement votre Symbole"
(-+0) Né du fouet,(0+0) Vrai fou,(++0) Personne SpÉcIaLe
"Vous êtes issu d’un cirque ou tout autre milieu extrêmement demandant physiquement, et possédez une force formidable, ainsi qu'une haute adresse, mais avez de sérieuses déficience psychologique dû à votre misérable origine et condition presque esclavagiste.","Vous êtes né ou avez été traumatisé ainsi, totalement dans votre propre univers sans que le monde vous entourant ne puisse vous dérouter de vos croyances, car elles seront toujours la vérité  -  il est impossible de vous inspirer, séduire, négocier, intimider ou tromper.  En revanche, vous êtes bien plus propice aux crises, mais vous vivez pleinement avec elles et votre seuil de tolérance mentale est augmenté.","Vous avez souffert d'un dommage cérébral congénital, ou êtes né ainsi, mais vous recevez plus de louanges quand vous effectués de bonnes actions, serez pardonné le plus souvent, et mêmes vos ennemis vous disculperont ou ignoreront, du fait du manque de danger et de but que vous représentez."
"+X FOR, DEX, AGI
-X VOL CRÉ, EMP","+X contre [Convaincre/Captiver] sur vous. Annuler 3X Dés de Folie aux jets, mais recevez +X Dés de Folie lorsqu’en recevant.","+X Niv de disposition envers vous, vous donnant de meilleures réactions et pardons envers vous
-X CRÉ, -X PER"
"(-++) 
Choisissez un Héritage Physique","(0++) 
Choisissez un Héritage Mental","(+++) 
Choisissez un Héritage Social"
