"﻿Niv de (Q)ualité, (R)areté, & (U)tilité",,,,
NIV,VALEUR,Qualité,Rareté,Utilité
...-5,"- Décuple
(Rejetée)",Exécrable,,
-4,"- Triple
(Dépréciée)",Calamiteuse,Débordante,Maudite
-3,"- Total
(Déversée)",Déplorable,Abondante,Dénigrée
-2,"- Tier
(Ignorée)",Inférieure,Courante,Évitée
-1,"- Dizième
(Banalisée)",Nulle,Commune,Vulgaire
0,"Prix idéal
(Acceptée)",Standard,Répandue,Banale
+1,"+ Dizième
(Régulée)",Bonne,Sporadique,Défendue
+2,"+ Tier
(Limitée)",Supérieure,Éparse,Recherchée
+3,"+ Total
(Détournée)",Exquise,Précieux,Exhaltée
+4,"+ Triple
(Réprimée)",Exemplaire,Exceptionnelle,Sacralisée
+5...,"+ Décuple
(Taboue)", Unique,,
