﻿Tableau des Dispositions,,,,,,,,,,
____ envers les...,Aristois,Griscribes,Navillis,Méridiens,Hauts Ylfes,Ylfes pâles,Ylfes des lacs,Iqqars,Slaadéens,Tchalkchaïs
Aristois, Ami+3 ,Confiant+2,, Acceuil+1,Neutre,,,,,
Griscribes,Confiant+2, Ami+3 ,Confiant+2, Acceuil+1,Méfiant-1,Neutre,Méfiant-1,Neutre,Neutre,
Navillis,Confiant+2,, Allié+4 , Acceuil+1,Méfiant-1,Neutre,Méfiant-1, Acceuil+1,Neutre, Acceuil+1
Méridiens,Méfiant-1,,,Confiant+2,Hostile-2,,,,,
Hauts Ylfes,Hostile-2,Ennemi-3,,Hostile-2,Ami+3,Hostile-2,Méfiant-1,Hostile-2,Ennemi-3,
Ylfes pâles,Hostile-2,,,,,Confiant+2,Méfiant-1,,Ennemi-3,Hostile-2
Ylfes des lacs,Hostile-2,Ennemi-3,,Hostile-2,Méfiant-1,,Confiant+2,Ennemi-3,Hostile-2,Rival-4
Iqqars,Neutre,, Accueil+1,Neutre,, Accueil+1,Méfiant-1,Harmonie+5,Méfiant-1, Accueil+1
Slaadéens,Neutre,,,,Méfiant-1,,Neutre,Méfiant-1,Confiant+2,Neutre
Tchalkchaïs,Méfiant-1,Neutre, Accueil+1,Neutre,Méfiant-1,Neutre,Hostile-2, Accueil+1,Neutre,Confiant+2
