﻿Types d’Action au Combat,,,,,
"PROactions
Attaquer l’ennemi DÉFINIT l’Épreuve (Niv)…dont la différence donnera le nombre de (S)uccès à dépenser (ou d’Échecs perdus face à l’ennemi)",,,,,
Attaquer,"Récupérer et/ou armer le bras/la corde/le mécanisme propulsant la munition à tirer ou l’arme maniée, donnant puissance à ses dégâts originels, qui seront relâchés par le bras ou la corde/le mécanisme de propulsion d’une arme à distance. ",,,,
"On frappe ou tire sur une cible (Ennemi ou son Arme) à travers la Portée de son Arme (voir au-delà si arme à distance).
Clins à déclarer = INERTIE de l’Arme - Puissance (1 au minimum)
Au Clin déclaré d’Attaque, faire un Jet de Puissance [Frapper/Tirer] = X",,,"On utilise l’Attaque pour infliger des dégâts, la Manœuvre pour faire une botte. 
Le jet donne l’Épreuve à outrepasser :
X = Résultat + ATTAQUE/Manœuvre de l’arme.",,
-> Recharger,"L’Arme déjà chargée ou non: y mettre une munition (arme à distance), ou la sortir de son fourreau/la remanier (mêlée, 1C).
Clins de rechargement - Aisance [Coordoner] = X Clins (minimum 1). Si préparée on peut immédatement lancer l’attaque.",,,,
﻿Réactions,,,,,
Bloquer,,Parer,,Esquiver,
"Puissance [Neutraliser:(Dés)Armé] + Parade = X
Absorber X Échecs contre X Durabilité  de l’arme utilisée (X maximum = Inertie d’arme).",,"Précision [Manier:(Dés)Armé] + Parade = X
Éviter tout dégât. Par X Succès, -X Clins à la Proaction actuelle ou -X Clins à la suivante.",,"Aisance [Réagir] = X
Éviter tout dégât. Par X Succès, +X Mouvements, Cases déplacées ou Récupération.",
Un Réaction d’une action venant de la case à votre extrême gauche/droite empèche toute Réaction à l’extrême opposé lors du même Clin.,,,,,
Se Déplacer,"1|2|3 Cases (+ Niv de Vitesse) parcourues par Clin.
 +X Niv d’Ébranlement par Vitesse (Marcher +1N, Courrir +2N, Charger +3N). 
Il faudra Marche 3C pour ensuite Courir sur 6C et Charger au 10ème (et ralentir sur 6C pour Courir, puis 3C pour Marcher).",,,,
Se Déployer,"Sur X Cases contre X Niv d’Ébranlement jusqu’au prochain Clin, avant de se ramener sur l’une d’entre elles.",,,,
Se Tourner,"De X Quarts de Tour contre X Niv d’Ébranlement. 1 Réaction contre les Cases à gauche OU droite, aucun Réaction derrière soi.",,,,
Sauter,De X Cases (hauteur + longueur) par Vitesse pendant X Clins (Athéltisme [Efforcer]). +1N Dégâts par case de hauteur.,,,,
"Postures
De base on prendre une Posture Neutre à n’ayant aucun effet positif ou négatif",,,,,
Offensive,"-1N pour Dévier ou Esquiver
+1N pour Attaquer ou Engager",,"-1N pour Attaquer ou Engager
+1N pour Dévier ou Esquiver",,Défensive
Harrassante,"-XN à votre Attaque
-1N aux Attaques d’X Ennemis",,"-XN à votre Attaque
+1N aux Attaques d’X Alliés",,Protectrice
Centrer vos forces afin de gêner vos Ennemis à votre Portée,,,Centrer vos forces afin d'aider vos Alliés à votre Portée,,
