2dD,,(D3) Société,Paysage,PNIs,Accroches,(D3) Curiosités
"


-

 
 
 ","-
 ",Architectures,"Aux objets brillants et étincelants suspendus aux branches d’arbres ou aux formations rocheuses, telles des offrandes à une entité probablement inconnue mais toujours respectée, par intrigue ou par peur","Un vieux zoionnier couvert de pâte visqueuse, persuadé que se noyer dans ses zoions offrira l’extase éternelle.",Deux récolteurs à zoions argumentent sur les très anciennes bornes délimitant leur territoire,"Banque à zoions, conservés et catégorisés. Les plus vieilles colonies se formant en des symboles inconnus"
,,"Longs convois de chariots pyramidaux, faits de bois miroitant de milles couleurs et tissus, tirés par des B'Dyorlyrs désailées",,,,
,"0
 ",Vêtements,"Recouvert de tissus récemment accrochés et teints de milles et unes couleurs, flottant d’une petite brise et liés à la petite faction locale, possiblement lié à un deuil oublié de tous (aux traces emmurées)","Tunnelier, tolère toutes insultes tant qu’on lui graisse les tentacules de sucreries.",Un haut-père Yulien accumule une dangereuse quantité de zoions dans sa caravane particulière,"Comptoir de d‘échanges de zoions, ayant remplacées les tavernes sans laisser de raisons particulières à cela"
,,"Il n'y aurait pas de vêtements plus colorés et harmonieux que ceux d'Yul, qui en firent un art recherché. Ils tapissent tout de tapis",,,,
,"+
 ",Apparences,"Exploité récemment pour ses ressources communes et banales (bois, pierres, etc…) avec quelques restes d’outils abandonnés et inutilisables, ayant recouvert des passages oubliés et plus jamais empruntés","Vagabond boursouflé par la pâte à zoion, collectionne les zones les plus explosives et sucrées.",Un exilé se dit être une expérience de Yul. Personne n’en parle. Il souhaite faire triompher sa vérité,"Cimeterre préhistorique d’où croissent des zoions uniques à ce lieu, formant des silhouettes minuscules"
,,"Certains manquent de doigts, d'autres sont brûlés récemment voir en profondeur. Les chariots sont tirés sur des rails voire parois",,,,
"


0

 
 
 ","-
 ",Phénomènes,"Percé de çà et là minuscules sources thermales, créant de petits ruisseaux très chaud et bucoliques, d’où de jolies mousses poussent sur des restes bien cachés d’ancienne bataille ayant marqué les parois","Fille aux cheveux-banderoles, fuit tout maître, sème des miroirs volés dans chaque recoin obscur.","Un prêtre informe que les zoions sont des rils à part entière, et leur exploitation mènera à la ruine d’Yul","Habitants locaux dévastés par les zoions, des fous ou illuminés creusant la terre  en des trous, sans s’arrêter"
,,"Des odeurs épicées, sucrées, salées, de l'enfumage et des reflets de miroirs aveuglants de çà et là. Parfois des explosions et réponses énervées et hurlées",,,,
,"0
 ",Salutations,"Aux quelques arbres ou plantes réussissant à pousser ici des trouées du soleil, et survivants aux vents tordus y soufflant, qui semblerait leur donner des formes humanoïdes, parfois tristes ou alors joyeuses","Jeune prodige alchimiste, vend son propre sang enrichi aux caves, exhibant ses cicatrices éclatantes.",Certains ouvriers deviennent fou au travail et l’un d’entre eux les guident vers les profondeurs d’Yul,Parfumerie à zoions dont l’odeur fait voir apparaître des nuages au sol qui guiderait vers les profondeurs
,,"On salut d'un geste trinquant, symbolique ou réel, souvent en riant. On rencontrera les B'dyorlyrs dégageant les voies d'éboulis",,,,
,"+
 ",Accueils,"Chanté d’animalcules minuscules et virevoltants, d’une mélodie vibrante et comme aquatique, symbolisant leur amour ou alors la lutte pour leur territoire, faisant résonner voire vivre l’eau environnante","Ingénieur chef des gazoducs, martyrise ses ouvriers pour que les caves restent humides et suprêmes.","Les zoions semblent de moins en moins produire,  se cristallisant en des choses brilliantes mais friables ","Étang à zoions, d’eau verdoyante et de plantes grimpantes sur des fossils de créatures colossales"
,,"On restreint les étrangers aux habitations d'accueil, les éloignant de ce qui touche aux zoions, dont les lieux d'exploitations sont gardés",,,,
"


+

 
 
 ","-
 ",Activités,"Parsemé de vieux restes solides et presque indéterminable d’un vieux et long nomachome aux drapeaux de symboles totalement inconnus, et dont sont sa structure semble être “née” des parois ou du sol","Mère-couturière Yulienne, tisse des tentures parfumées pour chaque naissance, chaque décès, chaque disparition suspecte.","Les Yuliens on besoin de viande, comme si les bêtes peuplant ces terres les évitent","Vieux tunnels à zoions plutôt délabrés, loin des regards, se dirigeant dans les profondeurs famée de richesses"
,,"Galeries et marchés arrangeant et échangeant teintures, solvants et autres produits réactifs au traitement des métaux, des alcools, etc…",,,,
,"0
 ",Plaisirs,"Traversé de ruines d’anciennes exploitations de zoions écroulées en plutôt ensevelie, et dont la technologie semble différente, non-locale, mais surtout inconnue et délabrée, voir pétrifiée","Ancien mineur muté, sent l’explosion imminente avant tout le monde, mais exige toujours un tribut.",De nouvelles voies sont ouvertes et de nouvelles opportunités attire les ambitions des Yuliens,"Caisses non-marquées, probablement d’anciennes contrebandes de zoions, empilées sans êtres utilisées"
,,"Mets des cavernes (ipslithes et faune locale) colorés, augmentés à travers les zoions pour être plus sucrés, salés, acides, etc…",,,,
,"+
 ",Festivités,"Détruit comme suite à une explosion démesurée, débris immenses fracturés impossiblement, associée à un conflit mythique et fondateur, et qui cacha sous d’innombrable éboulis des passages immémoriaux","Ermite tatouée, inhaleant les vapeurs de cave jusqu’à délirer et rire de ses effondrements.","Tous les sanctuaires semblent attirer les zoions qui les consomment, rendant les sacrifices impossibles","Excroissance nouvelle vers le ciel d’une colonie de zoion, aux racines trop profondes  pour en trouver la source"
,,"Tous se retrouvent en festivités explosant de couleurs, célébrant l'ouverture d'une exploitation, de compétitions ou de foire au zoions",,,,
