5dD,"Situation
Lorsqu'ils se réveillent, et Suite à quoi"
-5,"Mort des personnages - Ils ne se réveillent pas.
(Voir les mécanismes de résurrection)"
-4,"En prison locale/citadine afin d’être exécutés. 
Emprisonnés par des cannibales/rophanes ou mangeurs d’humanoïdes.
Se réveillant comme esclave sur un marché."
-3,"En direction d’un marché d’esclaves.
Préparés pour être “sacrifiés” (ordalie, religion, etc.) par un clan."
-2,"Emprisonnés par des bandits environnant.
Se réveillant dans une prison locale ou citadine."
-1,"Tirés dans un(e) terrier/cave/antre de prédateurs locaux.
Tirés dans un(e) campement/cave d’un(e) clan/tribu/etc… se méfiant de vous."
0,"Se réveillant, tombés dans un trou/piège - et étant probablement coincés.
Et/ou se réveillant en survivant à la suite d’un(e) noyade/chute/accident/etc…"
+1,"Laissés pour mort là où ils perdirent connaissance avant de s’en réveiller.
Réveillés de leurs hallucinations, au milieu de nulle part."
+2,"Sauvés par un personnage inconnu, qui s’éclipse à leur réveil.
Sauvés par un ermite/moine/voyageurs/aventuriers/etc… en leur campement."
+3,"Sauvés par un animal bénévole en son terrier, ou protégés par lui.
Sauvés par une caravane/des gens s’étant battus pour les sauver."
+4,Retrouvés et ramenés en société/à l’auberge/à l’hôpital/au campement/ par des chasseurs/fermiers/pêcheurs/missionnaires/marins/côcher/etc… avant de repartir.
+5,Amenés et soignés en société/à l’auberge/à l’hôpital/au campement/etc… le plus proche par une armée/troupe/caravane/etc…
