"﻿Matelassage
[ 1ère Classe ]",Dés 🛡️ Absorbés,,CTD,TRC,PRF,"ERT
🧱","Prix
⚖"
Peau,🛡 vs CTD,,1,1,1,2,100
Couche additionnelle,,,+1,+1,+1,+1,+100
Bouillie,,,,+1,+1,+0.5,+5
"Cémentée de X
(matériau de ???)",,,,+2,+1,-,+25X
Gambison,🛡 vs PRF,,4,4,3,2,200
Couche additionnelle,,,+1,+1,+1,+1,+50
Durci (sel & melhygre),,,,+1,+1,+.5,+10
Noirci (colle de poix  & métal),,,,+2,+1,-,+50
"Enmaillé de X 
(matériau de Mailles)",,,X,X,X,+0.5,+100X
"Emplaqué de X
(matériau de Plaques)",,,X,1+X,X,+1,+50X
"Écaillé de X
(matériau d’Écailles)",,,1+X,X,X,+1,+75X
"﻿Carapaçonnage
[ 2ème Classe ]",Dés 🛡️ Absorbés,,CTD,TRC,PRF,"ERT
🧱","Prix
⚖"
Mailles,🛡 vs CTD,,1,5,3,4,500
Écailles,🛡 vs TRC,,2,4,3,5,400
Brigandines,🛡 vs PRF,,3,3,3,3,600
"Densifiée (doublée, alourdie, etc...)
(Ne sont plus considérées “Légères”)",,,+1,+1,+1,x2,x2
"Lamellée de X 
(matériau de Lamelles)",,,X+1,X+1,X+1,+1,+75X
"Emplatée de X
(matériau de Plates)",,,X+2,X+2,X+2,+1,+100X
"﻿Blindage
[ 3ème Classe ]",Dés 🛡️ Absorbés,,CTD,TRC,PRF,"ERT
🧱","Prix
⚖"
Laminaires,🛡 vs CTD,,4,5,3,4,600
Lamellaires,🛡 vs PRF,,3,5,4,5,500
Cuirs/Chitines,🛡 vs TRC,,3,4,3,3,500
Plates,🛡 vs TRC,,5,5,5,5,1500
X SégmentationS supplémentaires,,,,,,-X,x 1+X
