﻿Montures,"Prix
⚖","Vitesse
(par Jour)","Type
(Déplacement)","Adaptation
",Description & Produits
"Nuhrsaï  
(Fourmiellure)",50,1 J,Terrestre,Froid,"Hyménoptère lémuriforme à 6 membres, chitine et fourrure, et un abdomène se gonflant en globe du miellat bioluminsecent qu’il lèchent des mousses géantes avec sa harde.
Produits: Melhygre (miellat), Lait, Viande, Chitine."
Rorqual sylvestre (Arvadoy),1000,1/5 J,Brachiation,Sylvestre,"Colossal xénarthre cétacéen à 6 membres, chitine et fourrure, se balancant dos au sol aux branches des arbres géants, solitairement et lentement, impassible.
Produits: Beurre-lait, Soie, Viande, Chitine."
Beoad (Vache à suc),100,1/3 J,Flottation,Venteux,"Énorme auriglobe hydrozoaire se gonflant et flottant dans les airs en troupeau, laissant traîner ses filaments tentaculaires afin de récolter le pollen des fleurs au sol.
Produits: Glucchymuc (Mucsucré), Viande."
"Courseur des falaises 
(Klakvaks)",500,1.5 J,Terrestre,Montagnard,"Énorme crustacéen iguanoïde, décapode et écailleux, traçant dans les escarpements en ricanant-jacassant."
Iurafaïas (Ouraphaès),100,2 J,Terrestre,Sylvestre,"Grand et vif sciuride scarabéidé à 6 membres, chitine et fourrure."
Yaol-daol,50,1 J,Sauté,Steppes,"Grand struthionidé batracéen à 3 membres, ne sautant que d’une jambe."
Foyalsum (Plane-nuage),5000,10 J,Vol/Plane,Aérien,"Colossal mobulide cnidaréen planant dans les cieux, sans tête apparente."
﻿Véhicules,"Prix
⚖","Vitesse
(par Jour)","Description & Effets
(Prix de location sur 1 Jour = Prix total/100)",,
"Charrette,
Caravane 
Chariot de guerre Carosse ","50
100 250 500",X J,"Tiré(e) par 1 à 4 montures/bétails (50/150 Sacs sans gêne chacun(e)), elles ne sont pas inclues dans le prix. 
La Charrette peut contenir 100 Sacs, la Caravane jusqu’à 1000 Sacs, alors que le Chariot de guerre ne transporte habituellement que 2 personnes, et le Carosse lui, jusqu’à 5 passagers en incluant le conducteur, en plus d’1 Coffre. Vitesse = Vitesse de monture/bétail la/le plus lente - 0.1 J par 50/150 Sacs tirés.",,
Traineau,25,3 J,"Tiré par 10-20 petites créatures, trainant jusqu’à 10 Sacs/1 Coffre chacune.",,
Litière,100,0.5 J,"Portée par 4 porteurs, transporter 3 Sacs chacun (donc 12 Sacs sans gène).",,
Pousse-Pousse,50,1 J,"Tiré par une seule personne, généralement jusqu’à 15 Sacs (3x5) sans gène.",,
Char à vent,100,"Vent x3
Vent x2",Va sous le vent et plus vite que le vent lui-même (ou contre lui à 2x sa vitesse) à travers une voilure tournante retransmettant l’énergie aux roues,,
Char-marcheur,X*500,X*0.5 J,"Véhicule-cargo pédalier terrestre, ayant X voiles et 2X jambes mécaniques propulsées par 20X cyclo-rameurs (max 200) qui y pédalent sur différents niveaux, lié à sa taille et capacité de transport.",,
Ver-de-laine,X000,"5-0.5X
J","Larve géante laineuse sous-terraine se déplaçant par tunnels. On rentre à l’intérieur par son orifice, et on la pilote en triturant directement ses nerfs principalement situés vers ça bouche. Fait la taille (et peut se charger de l’équivalent) de 10X Caravanes (max 100) en fonction de leur mue (chaque 10 ans).",,
Bateaux,"Charge
x
DRT","DRT
x 0.5","Prix (cO) = Coffres (10 Sacs) portables x Niv de Durabilité. Vitesse = +0.5 par Niv de Durabilité
Rondin (1C x 1D = 1cO) | Radeau (5C x 1D = 5cO) | Bateau (5C x 3D = 15 cO) | Barge (10C x 3D = 30 cO).
Barque (5C x 6D = 30 cO) | Galère (100C x 10D = 1000 cO) | Navire (500C x 10D = 5000 cO).
Galion (1000C x 15D = 15’000 cO).",,
Hydrycle,100,4 J,"Pédalier pour une personne flottant sur l’eau, avec un guidon",,
Marinycle,500,1 J,"Pédalier sous-marin, totalement isolé et imperméable. 1 Heure d’air avant d’y suffoquer.",,
"Barrique, Fût, Botte, Pipe, Tonneau, Foudre, Grand foudre",X,Courant,"Tonneau de X*250L (-65L Taille M*), (20X+90)cm x (20X+60)cm, MAX 2X*Moments d'air",,
Gonfle-nuage,X*500,5 J,"Montgolfière animale avec un panier pour 2+2X passagers, qu’il faut masser pour qu’elle se gonfle de ses gaz (et battre pour se dégonfler) afin de voyager dans les airs. Ne pas oublier de la nourrir de sucs ou laits indigestifs.",,
Combinaison à ailes,100,3 J,"Combinaison totale ayant deux ailes de 7 Portée et d’un encombrement de 3 Sacs, soulevant son porteur lorsqu’il bas des ailes et des jambes (jusqu’à 20 Sacs +|-2 Sacs soulevé par Puissance ou Succès au jet).",,
Aèrycle,X*500,X*0.5 J,"Véhicule-cargo pédalier aèrien, ayant 2X ailes mécaniques propulsées (ou ballon ou hélices, voir ci-dessous) par X cyclo-rameurs (max 10) qui y pédalent en rangées, lié à sa taille et capacité de transport.
- Ballon (Prix x2), lui faisant gagner en portance grâce à la flottabilité d’un ballon (animalier ou non), désromais moins fatigant à opérer.
- Hélices (Prix x4), lui faisant gagner en manoeuvrabilité en contrepartie d’être bien plus demandant (fatiguant), par ses lames tournoyantes.",,
