Niv d’Épreuve des 8 Souffrances,,,,,,,,,
,Force,Agilité,Dextérité,Vigueur,Empathie,Perception,Créativité,Volonté,
,Blessures,Entraves,Fatigues,Disettes,Addictions,Maladies,Folies,Rancoeurs,
Niv d'Épreuve,"Échecs d'Aptitudes liées
Chute (d'1|2|3m x Niv)
Saignement","Échecs d'Aptitudes liées
Encombrement","Échecs d'Aptitudes liées,
Nuits Blanches
Labeurs","Échecs d'Aptitudes liées
NdT sans Manger
Jours sans Boire","Échecs d'Aptitudes liées,
Niveau addictif de la drogue consomée","Échecs d'Aptitudes liées
Infection & Poisons 
Blessures non-pansées","Échecs d'Aptitudes liées
Situations terrifiantes
Bouleversements","Échecs d'Aptitudes liées
Situations enrageantes
Punitions",Niv dÉpreuve
,,,,,,,,,
Niv,Exemples de différentes situations classées par leur Niveaux d'Épreuves causant un type de Souffrance en particulier. A chaque Niveau sont aussi définis les différentes Séquelles et étapes de souffrance.,,,,,,,,Niv
0,"Blessure Superficielle
Égratignures
Échardes
Bleus
Tomber par terre","Feu de camp, Courant d’air
Habits grattant ou sales 
Sol inconfortable
1 Couche d’Armure équipée
Ébranlement en Bataille","Porter +0 Facteur de Sacs sur 1 Matinée
Porter jusqu’à la limite de ses Sacs (d’habitude 3S.)","1 Matinée sans Manger, tel qu’un petit Creux
1 Matinée sans Boire, telle qu’une petite Soif","Drogues/Divertissements/Etc. restaurant un Attribut à 0 pendant 1 Instant (NdT0) après 1 Pentaine.
À assouvir à chaque Année","Nez qui coule
Un seul Vomissement
Poison infligeant 1d6/2 Souffrances","Rencontrer des valeurs différentes/opposées aux siennes
Découverte soudaine d’une carcasse ou d’un membre
Surpris par un Danger ","Se faire couper la parole
Un Regard suspect
Une Blague ratée
Etc...",0
1-2 Dés de Souffrance (DS),,+1 à 2 DS d'un coup n'infilgeant JAMAIS de Séquelles (même en les accumulant à un Niv de Souffrances supérieur),,,,,,1-2Dés de Souffrances (DS),
1,"Blessure Légère
Déboitages
Luxations
Coupures inquiétantes
Chute à 3/2/1m (P/M/G)","Été & Hiver (rappel 1x/Veillée
Dans la boue/En Pente, 
1 Jour sans se laver
+1 É. de Sacs portées
+1 C. d’Armure/Casque","Fatigue d’1 Nuit blanche
Fatigue d’1 Labeur par Jour
10 Clins d’efforts en Bataille
Porter +1 ÉdS sur 1 Veillée
1 Essoufflement (superficiel)","1 Jour sans Manger, telle qu’une grosse Faim
1 Jour sans Boire, telle qu’une grosse Soif","Drogues/Divertissements/Etc. octroyant +1 Dé contre 1 Souffrance pendant 1 Heure après 1 Jour
À assouvir à chaque Soleil","Petit Rhume
Blessure infectée après 1J
Poison de 1d6 Souffrances à un Attributs
","Ne pas pouvoir agir en ses valeurs.
Être Surpris par l’ennemi,
Être Encerclé, ou en Infériorité numérique (3x moins)","Être punis pour ses actes
Ne pas pouvoir exprimer ce que l’on pense être
Faire une rencontre ou un débat plutôt désagréable",1
"3-5
DS","SI 2 Niv d'un coup = Séquelle Physique 
Passagère",,"SI 2 Niv (3 Dés de Souffrances) d'un coup = Séquelle Physique ou Psychique
Passagère",,,,"SI 2 Niv d'un coup = Séquelle Psychique
Passagère",,"3-5
DS"
2,"Blessure Profonde
Une Grosse Fracture
Plusieurs Petites Fractures
Chute à 6/4/2m (P/M/G)","Eté chaud & Hiver froid (1x/Heure) Bourrasques
Nage à contre-courant, Trempé, 1 Pentaine sans se laver.","Après 2 Nuits blanches 
Travailler 2 Labeurs/Jour
Porter +3 ÉdS sur 1 Heure
3 Essoufflements (superficiel)","1 Pentaine sans Manger, tel qu’un Jeûne intermittent
2 Jours sans Boire, telle qu’une Déshydratation
","Drogues/Divertissements/Etc. octroyant +3|1  Dés à 1|2 Souffrances pendant 1 Veillée après 1 Veillée
À assouvir par Cycle","Fièvre, Rougeole
Poison infligeant 1d6 Souffrances à deux Attributs (maximum)","Être dans l’incapacité d’infliger des dégâts, tel que ne pas ou plus avoir d’arme, un ennemi “invincible”, etc...
Être Blessé en Bataille","Être forcé de prétendre l’opposé de ce que l’on pense être
Participer à ce que l’on ne veut pas faire ou dire",2
"6-9
DS","SI 3 Niv d'un coup = Séquelle Physique 
Durable",,"SI 3 Niv (6 Dés de Souffrances) d'un coup  = Séquelle Physique  ou Psychique
Durable",,,,"SI 3 Niv d'un coup = Séquelle Psychique 
Durable",,"6-9
DS"
