,
"3. Vieillesse (Jusqu’à la Mort)
Héritiers de nombreuses fortunes et tragédies, on y est aussi habituellement plus influents au sein des siens ou dans ses expertises.",
Hôte,"Quand vous accueillez quelqu'un, vous gagnez votre Niv de Dé en Dés d’Influence sur lui."
Bien commun,"En proposant la coopération entre plusieurs partis et s'ils acceptent, tous gagnent votre Niv de Dé en Dés d’Influence entre eux"
Marchandage,Dépenser X Niv de Charisme avec quelqu'un pour faire baisser les prix de X Niv de Valeur
Survivant,+X Dés afin d'endurer toute forme de souffrance qu’elle quelle soit.
Expérience,"À la suite d’un jet de Charisme à +X Dés sur quelqu’un, par Succès et au choix, vous...
- Pouvez le faire taire (il est “convaincu” d’une certaine façon et la discussion s’arrête).
- Leur disez que vous avez tout vu (-X Dés à leurs jets suivant sur vous).
- Connaissez leur “type” et gagner votre Niv de Dé en Dés d’Influence sur eux."
Longue vie,"Vous gagnez +X Relations, et quand vous rencontrez quelqu'un de nouveau, vous gagnez votre Niv de Dé en Dés d’Influence en le liant à vous à travers une personne disparue qu’apparement vous connaissez en commun."
Récits,Vous avez +X Dés lorsque vous narrer quoique ce soit afin que l'on vous écoute.
Sagesse,"Revendiquez un lieu sacré ou un sanctuaire avec un Titre associé. En ce lieu, vous avez +X Dés à tout jet contre les indésirables."
Ancien,"Lorsqu'on vous le demande et que vous leur donnez une réponse adaptée, vous obtenez votre Niv de Dé enDés de Charisme sur eux et ils ont +X Dés à leurs jets si ils suivent votre conseil."
Maïeutique,Dépensez X Dés d’Influence sur une femme afin de leur donnez +X Dés à leurs jets liés à l'accouchement ou à ses enfants.
Pacificateur,"Lors de violence et suite à votre jet de Charisme à +X Dés, par Succès et au choix en pendant un NdT égale à votre Niv de Dé-5
Ils déposent leurs armes. Plus personne ne subit de violence. On ne vous fait plus de mal à vous. Ils ne demandent pas de compensation ou restitution."
