﻿Tableau des Valeurs de Moralité,,,,,,,,,,,,,,,
1dD+1dD,,,"Aristoises
Trèpharchie","Griscribes
Mignusophie","Navillis
Olbôphélie","Méridiennes
Etéathlie","Hautes Ylfes
Edapoèsie","Iqqars
Égonexie","Ylfes Foliées
Mellophrônie","Ylfes pâles
Hiéragogie","Slaadéenes
Thrasonirie","Tchalkchaïes
Echothysie",,1dD+1dD,
"(-)

1ère
H
É
L
I
O
R
É
E","(-)
1ère
Pentaine",L’un,Se relaxer,Résoudre,Jouir ,Détruire,S'améliorer,Se divertir ,S'accaparer,S'augmenter,Accomplir,Se sacrifier,L’un,"(-)
1ère
Pentaine","(-)

1ère
H
É
L
I
O
R
É
E"
,,,"Se relaxer Activement (bains, massages, etc…)",Une énigme ou problème quelconque,Soi-même et de quelconque façon,Tout ce qui est lié à la faiblesse,Gagner des marques d'expérience,"D'une nouvelle façon, manière, etc…",De quelconque possession d’autrui,Dans ses droits et ses titres,"Une étape vers votre rêve, sa vision, etc.",En prenant la place de quelqu'un d'autre,,,
,"(0)
2ème
Pentaine",L’Ensemble,Accroitre ,Être accepté,Faire cohabiter,Se prouver,Créer le durable ,Être récompensé,Être reconnu,Accroitre,Motiver autrui,Imiter l'autre,L’Ensemble,"(0)
2ème
Pentaine",
,,,Un (foyer) Aristois où qu'il soit, Au sein d'un foyer/groupe, Tout l'entourage présent,Envers l'entourage ou chez soi,Se perpétuant dans le temps,Par ses proches et/ou ses relations,Durablement par sa réputation générale,Durablement Son Clan H. des Buttes,"A suivre nos visions, nos désirs, etc...",Qui est tout à fait contraire à soi,,,
,"(+)
3ème
Pentaine",L’Autre,"Apprendre
d'autrui","Étudier 
l'autre","Servir 
autrui","Motiver 
autrui ",S'ajouter une Restriction,Faire Jouir autrui,Explorer  ailleurs,Ordonner et l'autre,"Sauver
autrui","Donner à
autrui",L’Autre,"(+)
3ème
Pentaine",
,,,Un savoir ou connaissance quelconque,Rechercher quoi que ce soit ailleurs et étranger,Et pour le bénéfice d'autrui,Afin qu’il agisse vers votre inconfort,En s’ajoutant un fardeau ou une chose à rechercher,Son entourage de quelconque façon,"Une chose inconnue, cachée, secrète","Donner un ordre ou optimiser une chose, un individu, etc…",En péril afin d’en faire un ami (ou s’il en est déjà un).,Quoi que ce soit nous étant cher,,,
"(0)

2ème
H
É
L
I
O
R
É
E","(-)
1ère
Pentaine",Racine,Le Montueux,Le Courbé,La Sonorité,L'Humide,Le Scintillement,La Suspension ,L'Estompé ,Le Multicolore,Le Rougeoyant,Le Courant,Racine,"(-)
1ère
Pentaine","(0)

2ème
H
É
L
I
O
R
É
E"
,,,"L'immense, la montagne, le plus haut","Le tortueux, le torsadé, le tourné, etc…","L'action ""à distance"", le vent, le votre","Le mouillé, le moite, l'embué, etc…",Le miroitement et la réflexion de toute chose,De chose dans un milieu. Flottaison/vol/etc...,"Le vague, le flou, etc…",Les couleurs changeantes et variées,"Le sang, l’ocre, le coucher de soleil, l’automne, etc...","Le liquide, le fluide, le flot, etc...",,,
,"(0)
2ème
Pentaine",Nature,L'Assimilation,La Trace,La Distanciation,La Compagnie,La Jouvence,La Localisation,La Domination,L'Obscurité,La Lubrification,La Guérison,Nature,"(0)
2ème
Pentaine",
,,,Se Fondre l'un dans l'autre,"Les marques, traînées, restes, etc…","S'écarter, ne pas toucher",Le partage avec autrui,"La jeunesse, la vigueur, le dynamisme",La position/situation d’un chose par rapport à l’autre,"L'emprise, le domptage, l’assujettissement","La nuit, la sombreur, les souterrains, le noir, etc...","Le graissage, poisseux, visqueux, l’enlisement, etc...",La régénération et le soin en entièreté,,,
,"(+)
3ème
Pentaine",Culture,"État 
Pastoral Nomade","Tribu 
Pastorale Nomade","Chefferie  
Horticultrice Nomade","Tribu 
Agricultrice Nomade","Bande 
Horticultrice Sédentaire","Etat 
Chasse.-cueilleur Nomade","Bande 
Agricultrice Semi-nomade","Bande 
Pastorale 
Sédentaire","Chefferie 
Chasse.-cueilleur Nomade","Etat 
Horticulteur Nomade",Culture,"(+)
3ème
Pentaine",
,,,PARTIR d’ici avec l’autorité pour diriger X,PARTIR d’ici avec un proche pour diriger X,PARTIR d'ici avec le groupe pour dégager X,PARTIR d'ici avec un proche pour entretenir X,RESTER ici tout seul pour récolter X,PARTIR d'ici avec l'autorité pour récolter X,REVENIR ici tout seul pour entretenir X,RESTER ici tout seul pour diriger X,PARTIR d'ici avec le groupe pour récolter X,PARTIR d'ici avec l'autorité pour dégager X,,,
"(+)

3ème
H
É
L
I
O
R
É
E","(-)
1ère
Pentaine",Religiosité,L'Idéal,Les Esprits,La Divinité,L'Universalisme,L'Enchantement,Les Esprits,L'Enchantement,La Voix Guidant,L'Idéal,Le Symbole,Religiosité,"(-)
1ère
Pentaine","(+)

3ème
H
É
L
I
O
R
É
E"
