﻿Étude de Marché & Marchandage,,,,,
"Niv
1|2X",Recherche d'un...,,"Valeur
(Jet)",Affaire conclue avec un...,
,(1) Acheteur,(2) Vendeur,,(1) Acheteur,(2) Vendeur
-|+ 4,Veut être Payé acheter ça,Paye pour s’en débarrasser,"- Triple
(Dépréciée)",…réclamant prime pour sa détention,…d’où l’on fit un Coup de Maître
-|+ 3,"Surplus, aucun acheteur/trop de vendeurs, désintérêt total",,"- Total
(Déversée)",…qui nous confisqua les produits,…qui nous l’offrit comme Cadeau
-|+ 2,C’est une Production locale en ces Parages,,"- Tier
(Ignorée)",…qui nous fit une Sacrée arnaque,…d’où l’on fit une Sacrée affaire
-|+ 1,C’est Courant en ce lieu,,"- Dizième
(Banalisée)",…qui nous Arnaqua un peu,…comme ayant eu un Bon rabais
0,Peu convainquant ou difficile à vendre/acheter,,"Prix idéal
(Acceptée)","...d'où l 'on ne fit ""Aucun profit""",
+|- 1,Marchandise peu commune,,"+ Dizième
(Régulée)",…d’où l’on fit une Bonne marge,… qui fut DRT en négoces
+|- 2,Marchandise désirée et/ou rare/précieuse,,"+ Tier
(Limitée)",…d’où l’on fit une Sacrée affaire,…qui nous fit Vendre à perte
+|- 3,Marchandise dans le besoin et/ou comme contrebande,,"+ Total
(Détournée)",…à qui on lui fit payer le Double,…qui nous fit une Sacrée arnaque
+|- 4,"Prêt-à-tout, besoin désespéré et/ou illégal de la marchandise",,"+ Triple
(Réprimée)",…d’où l’on fit un Coup de Maître,…qui nous Arnaqua totalement
