﻿Armes de Manche,PRT 📐,IRT 💥,DGT ⚔,A,G,M,"DRT
💎","Prix
⚖"
Pipe de métal,T.5,1,C,1,1,5,,5
"Bras (démembré)
(à croches, improvisé)",,4,C+,,,6,-2,-
"Branche
(à croches, improvisé)",,4,"C
P",,,6,-2,-
Petit bâton,1,2,C,2,1,4,,1
"Pieu
(2 têtes mêlées)",,,"C
P",,,,-1,1
"Jambe (démembrée)
(imrpovisée)",,6,C+,3,1,4,-2,-
Bâton de marche,1.5,3,C,3,2,3,,2
"Lance
(2 têtes mêlées)",,,"T--
P-",,,,-1,10
"Trident
(à croches x2)",,,P-,,,5,-2,15
"Banc
(+garde, à croches x2, improvisé)",,1T,C++,,3,5,-4,5
Long bâton,2,4,C,4,2,2,,3
"Longue lance
(2 têtes mêlées)",,,"T--
P-",,,,-1,20
"Lancépée
(str. pommeau, 2 têtes mêlées)",,,"T
P-",5,,1,-1,55
"Faux de guerre
(à croche, 2 têtes mêlées)",,,"T
P-",,,3,-2,25
"Fourche de guerre
(à croches x2)",,,P-,,,4,-2,20
"Guisarme
(à croches x2, 2 têtes mêlées)",,,"T--
P-",,,4,-3,20
"Corsèque
(+garde, 2 têtes mêlées)",,5,"T--
P-",,3,,,30
"Double-lame
(2 têtes à 2 têtes mêlées)",,5,"T--
P-",5,,,-1,100
"Baton-bouclier
(T-- gardes)",,6,C,,4,,,35
"Table
(+garde, à croches x2, improvisé)",,12,C++,5,3,4,-4,10
Pique (à +X Portée),2+X,5+X,"T--
P-",5,3,1,-1-X,30
"Lance à branches
(à croches x3, flexible, 7 Portée)",,1T,P--,,,4,-8,25
"Lance pliante
(2 têtes mêlées, flexible)",,,"T
P-",3,,2,,40
"Attrape-coquin
(+garde, à croches x4, 2.5 Portée)",,5,P--,,3,6,-4,20
