﻿Contenants,"Prix
⚖","ERT
🧱",Description & Effets
Poche de ceinture,1 eO,0,Contient jusqu’à une Bourse (0.1 Sac) d’objets accessibles après seulement 1 Clin de temps.
Gourde de peau,1 pO,0,Contient jusqu’à une Bourse (0.1 Sac) de liquide accessibles après seulement 1 Clin de temps.
Fourreau de taille,2,0,Enveloppe l’arme désignée afin de la préserver des éléments et de la transporter en ayant les mains libres. Divise les Clins de dégainement ET les Sacs d’encombrement de l’arme rangée en son sein de moitié.
Fourreau dorsal,5,1,"Un fourreau spécifique afin de transporter une épée longue ou très longue (Portée de 1.5 ou plus).
Divise les Clins de dégainement ET les Sacs d’encombrement de l’arme rangée en son sein de moitié."
Anneau d’accroche,1 pO,+,"Un clou et une ceinture permettant de transporter une lance, un arc, etc… dans le dos ou à la taille.
Divise les Clins de dégainement ET les Sacs d’encombrement de l’arme rangée en son sein de moitié."
Carquois,1+X,1+X,"Un fourreau pour billes/dagues/flèches/javelots (ou autres similaires) en contenant jusqu’à X* 100 | 30 | 10 | 3, dès lors rechargeables en 6 Clins plutôt qu’en 10 (étant désormais plus accessibles qu’au sol ou dans un sac)."
Sacoche à bandoulière,1 eO,1,+1 Niv de Port. Chaque Sacoche portée en plus d’un seul cause +1 Niv d’Ébranlement.
Baluchon / Filet,1 pO,0,+1 Niv de Port. Chaque Baluchon porté en plus d’un seul cause +2 Niv d’Ébranlement. Improvisé et incertain.
Sac à dos,1,2,+2 Niv de Port. Chaque Sac porté en plus d’un seul cause +2 Niv d’Ébranlement.
Havresac à croches,2,3,+3 Niv de Port. Chaque Havresac porté en plus d’un seul cause +3 Niv d’Ébranlement.
Bouteille à herbes,1,0,Contient jusqu’à une Bourse (0.1 Sac) d’herbes restant fraîches pendant 1 Pentaine.
Pot thermique,2,0,Contient jusqu’à une Bourse (0.1 Sac) de liquides au frais ou chaud pendant 1 Jour entier.
Coffre / Tonneau,5,10,Contient jusqu’à 10 Sacs / 100L (de Vivres) à tirer ou charretter. +10 Niv d’Ébranlement si porté à la main.
 Cageot / Baril,3,5,Contient jusqu’à 5 Sacs / 50L (de Vivres) à tirer ou charretter. +5 Niv d’Ébranlement si porté à la main.
﻿Outils,"Prix
⚖","ERT
🧱",Description & Effets
Chaussures de marche,1,0,"Faîtes d’un cuir ou autre matériaux souple et léger afin de marcher aisément sur les routes.
+3 Dés vs TER+"
Chaussures d’escalade,2,0,"Faîtes d’une semelle épaisse et antidérapante pour marcher sans se blesser et ne pas glisser.
+3 Dés vs TER-"
Bottes de pluie,2,1,"Imperméabilisées (matériaux, traitement) afin de résister à l’eau et de garder les pieds au sec.
+3 Dés vs MOI+ & FLU+"
Bottes de neige,2,1,"Faîtes pour protéger les extrémités des gelures, et habituellement fourrées pour réchauffer.
+3 Dés vs TEM-"
Bottes de jungle,3,1,"Renforcées afin de traverser tout obstacle.
+3 Dés vs TER+ & FLU-"
Raquettes de boue/neige,1,1,"Ces accessoires sont plats et large afin d’empêcher que le pieds s’enfonce dans la neige ou la boue. 
+3 Dés vs FLU- & FLU+, mais +1 Niv d’Ébranlement lorsqu’équipées."
Chapeau frais,1 eO,0,"Un couvre-chef léger qui respire, et qui protège du soleil de par sa bordure, empêchant les coups de soleil.
+3 Dés vs TEM+ & LUM+"
Chapeau chaud,1 eO,0,"Un couvre-chef épais de fourrure, parfois protégeant les oreilles des engelures et du vent.
+3 Dés vs TEM-, mais -3 Dés vs TEM+"
Capuche des sables,1,0,"Un couvre-chef épais et lourd qui empêche le vent, le soleil et les sables de pénaliser la vision.
+3 Dés vs LUM+ sous tout vent, soleil ou tempêtes de sable ou de neige, etc…"
Lunettes de neige,1 eO,0,"Un outil protégeant les yeux lors de la pluie, du vent, de la neige ou tout autre climat extrême.
+6 Dés vs LUM+, mais +3 Niv d’Ébranlement (la vision, bien que protégée, étant désormais très restreinte)."
Cape fraîche,50,1,"Faîte d’un tissu léger et respirant qui empêche la chaleur de rentrer au travers.
+6 Dés vs TEM+, mais -6 Dés vs TEM-"
Cape chaude,50X,1+X,"Faîte d’une ou plusieurs peaux ou fourrures. Peut être utilisée pour y dormir dessus (+3+X Dés vs TER+). 
+6+X Dés vs TEM-, mais -6-X Dés vs TEM+"
...+ Imperméabilisée,+10,,"Enduite d’un produit résistant à l’eau et nécessite un entretien constant.
+3 Dés vs MOI+"
...+ Coupe-vent,+10,,"Couvre le corps tout entier et est filée très serré, réduisant les effets du vent.
+3 Dés vs TEM- & FLU+ lorsqu’il y a du vent."
...+ Camouflée,+50,,"Adaptée à un environnement donné afin de cacher le corps tout entier en s’y assimilant.
+3 Dés aux jets d’Aisance [Dérober] dans l’environnement choisi."
