﻿Délits,"Coût
⚖",Description
Ignorer un crime,3,"Passer devant un cadavre sanguinolent sans un regard, préférant son pain à toute empathie glaciale."
Paresse/Abandon,,"Ne pas travailler, ne pas suivre ses devoirs et produire ses dûs. Abandonner un serment (coût = prix du devoir)"
Non-paiement du loyer,,"Squatter joyeusement le palais du duc, nourri par sa colère outragée et ses huissiers furieux."
Intrusion,,"Pénétrer furtivement dans un palais royal pour chaparder un je-ne-sais-quoi, riant méprisants, silencieux."
Vagabondage,,"Errer pieds nus dans la boue sacrée, campant sous lune complice, rats affamés hilares sinistres."
Braconnage,,"Tuer furtivement bêtes sacrées du royaume pour festin clandestin, espérant éviter l’œil courroucé du roi. "
Jeux d'argent,,"Parier votre cimeterre sur la mort prochaine, enivré d’adrénaline et de pièces sonnantes ricanantes macabres."
Calomnie,,"Propager rumeurs puantes sur votre voisin, joyeusement écrasant sa réputation sous un torrent de mensonges."
Hérésie,,"Adorer un dieu inventé, dégustant ses plats divins en hurlant ‘Seigneur !’ aux prêtre outrés et ivres."
Déviance sexuelle,,"S’adonner aux plaisirs interdits dans l’ombre, offrant un spectacle aussi obscène qu’illégal."
Prostitution,,"Échanger caresses interdites contre écus dorés, offrant votre âme ébréchée à chaque infâme client."
Inceste,,"S’unir passionnément avec un proche coupable de tabou, ronronnant d’amour obscène au banquet familial."
Extorsion,10,"Serrer la gorge d’un marchand naïf, réclamant plus d’or que son gosier avide n’en rêve. Voler par violence"
Lancer une menace,,"Cracher des menaces saumâtres au visage du chef, moqueur ardent, savourant sinistrement son souffle coupé."
Introduction par effraction,,"Forcer une fenêtre dorée au clair de lune, réveillant gendarmes et voisins insomniaques râlants furieux."
Proxénétisme,,"Orchestrer orgies tarifées dans chaque taverne, savourant obscène, percevant votre dû sur chaque soupir vendu."
Dette,30,"Reporter l’intérêt usuraire de quelqu’un à jamais, suppliant les créanciers ne pas reprendre leur argent promis."
Agression sexuelle,,Tenir les seins d’une femme
Marchand malhonnête,,"Peser l’or sur ciseaux usés, trichant joyeusement avec la balance et promettant monts et merveilles."
Sorcellerie,,"Murmurer un sortilège vénéneux sur un grimoire éclaboussé de sang, afin d’invoquer vos horreurs."
Vol,x Objet,"Dérober le bijou royal sous nez du garde somnolent, filant tel un rat furtif."
Agression,50,"Rouer de coups un ivrogne insolent, savourant sadiquement chaque halètement rauque."
Blasphème,,"Jurer par testicules sacrées, invectivant dieux outrés sous pluie de jurons enfantins."
Faux poids et mesures,,"Vendre tonneaux à moitié vides, calibrant mensonge et cupidité."
Yeux cupides,,"Fuser d’un regard vorace, jaugeant poche et fortune d’un simple coup d’iris avide."
Adultère,100,"S’enlacer dans le lit d’un noble marié, jonglant passion, scandale et chute."
Viol,ou 5x Marriage,"Imposer chair en furie sur corps défait, brisant cris et volonté dans une danse brutale."
Parjure,x Type,"Mentir lors d’un témoignage. Jurer fidélité éternelle à la reine, trahissant serment dès que l’or brille plus."
Agression chez la victime,,"Franchir la porte close pour lyncher la touche-à-tout, goûtant la terreur domestique avec délice sadique."
Enlèvement,+ Prison,Enfourcher destrier nocturne pour happer innocente marchande.
Assaut en lieu sacré,100,"Charger sabre hurlant blasphèmes, briser l’autel d’ivoire, effrayant moines en prières."
Contrefaçon,,"Fabriquer des fioles d’élixir divin factice, vendu pour sang de licorne, arnaquant les crédules."
Fausse accusation,,Une fois que son innocence fut prouvée.
Cambriolage,300,Vadrouiller les couloirs perfumés d’ocre pour vider le coffret scellé.
Incendie criminel,,"Arroser le bois d’huile noire, avant de l’allumer par votre torche cramoisie."
Inondation criminelle,,"Engloutir, saler, voir enfricher le champ, le pâturage, la terre productive d’autrui, l’empêchant de l’exploiter."
Travail forcé,,"D’un esclave lors d’un jour de festival, où tous méritent leur repos durement gagné."
Perdre un duel,,Être vaincu lors d’une ordalie (d’un combat établit afin de réparer un affront).
Manquer à l’ordre,,Ne pas se présenter à un jugement sur ses peines.
Dégainer/Bagarrer,,Dégainer son arme en publique ou déclencher une bagarre (sauf si il y a une guerre actuellement).
Divorce/Union illicite,,"Se séparer de sa femme (coût payé à envers elle), ou se marier dans le secret et contre les lois."
Trahison ,x Délit,Vendre les secrets royaux pour un sourire cupide. 
