﻿Tableau des Rencontres,,,,,,,,,,
Question,Quand ?,Quoi ?,Qui ?,Combien ?,,d’Où,Lorsque ?,Comment ?,Pourquoi ?,Question
,Rencontre si < NdT-5,Milieu,Entité,Quantité de l'Entité rencontrée,,Distance entre Entité et PI,Situation de l'Entité,Attitude de l'Entité vers PI,Symbolique de Entité au PI,
,Autrement : Arrivé à destination,Voir la p. du Parage,,SI l'Entité est une AIDE,SI l'Entité est une MENACE,Spatiale et/ou Temporelle,,,,
-5,"Voyage... d'1 Instant
Intérrompu juste avant destination",MILIEU Dangereux,MENACE Locale,""" 0 ""
Relancer 5dD, où le résultat donnera le nombre de Traces|Cadavres présent(e)s","(!)D3x100 (NdG +5)
Tribu Campement","Tomber dans le Piège de ___ 
Se retrouvant en position désavantagée","En embuscade des PI
Veut “reprendre” ___ des PI
En crise totale, prêt à tout","Rivale
“Sournoise pour Saboter”
Interagit sans demander","Supprimant une Solution
De l’un des Buts des PI ou à celui Poursuivi
Fait disparaître ",-5
-4,"Voyage... d'1 Moment
Intérrompu 1 Instant avant destination",,,"1 (NdG 0)
Cabane, Vagabond","3D3x10 (NdG +4)
Château, Troupe(au)","Être Surpris par ___ 
Lors d'une activité des PI","Hallucinant ou Dormant
En embuscade de ___
Ramenant un trésor chez soi
Cherchant à survivre","Sournoise
“Déguisée comme +1 à +5”
Interagit sans demander","Créant une Rivalité
Envers un des Buts des PI ou à celui Poursuivi",-4
-3,"Voyage... d'1 Heure
Intérrompu 1 Heure avant destination",,,"D3 (NdG +1)
Groupe, Hutte, Marcheurs, Parents, Coin","D3x10 (NdG +3)
Fil de Caravane, Domaine, Escouade, Nichée","Fausses ""Évidences"" de ___ 
Faisant conclure à l'inverse","En accouplement, Déféquant
En chasse/traque des PI
Apeuré, Malentendus, etc...","Agressive
“Attaque directe”
Cherche à interagir","Donnant des ""Évidences""
Faisant conclure l’inverse",-3
-2,"Voyage... d’1 Veillée
Intérrompu 1 Heure avant destination",,,,,"Traces de ___ 
Difficiles à Percevoir, Trouver, Suivre","Marquant votre territoire
Patrouillant, gardant ___
Ramenant ___ chez soi
Désirant ___ des PI","Hostile
“Triche & Entrave”
Cherche à interagir","Liens/Traces Difficiles
Initialement Invisibles, à Percevoir & Trouver.",-2
-1,"Voyage... d’1 Matinée
Intérrompu 1 Veillée avant destination",,,"3D3 (NdG +2)
Famille, Maison, Équipe, Chercheurs, Salle, Meute, Habitat",,"Indices de ___ 
Effacés, Vieux ou Ambigües","Négociant, En construction,
Concentré, En plein(e) travail/quête/traque de ___
Argumentant, En réveil","Inamicale
“Demande plus”
N’agit pas de lui-même","Aux possibles Indices
Cachés, Vieux, Ambigües",-1
0,"Voyage... d’1 Jour
Intérrompu 1 Matinée avant destination","Milieu 
&
Entité
NEUTRES
",,,,"Pouf ! ___ est ici ! 
Tous se trouvent tous d’un coup","Mangeant, Jouant, Discutant, Au travail, (se) Lavant
Occupés, ignorants et/ou inconscients des PI","Indifférente
“Marchande”
N’agit pas de lui-même","Aucun lien avec quelconque
But de PI ni celui de la Poursuite",0
+1,"Voyage... d’1 Pentaine
Intérrompu 1 à 3 Jour(s) avant destination",Milieu Salvateur,AIDE Locale,,,"Indices de ___ 
Lisibles, Frais ou Récents","Explorant, En pèlerinage
Apaisés, polis, intéressés
Attirés et/ou intrigués par les PI","Amicale
“Accueil au besoin”
N’agit pas de lui-même","Donnant des Indices 
Lisibles, Frais, Récents",+1
+2,"Jusqu’à... 1 Héliorée
Intérrompu 1 Pentaine avant destination
",,,"D3x10 (NdG +3)
Fil de Caravane, Domaine, Escouade, Ferme","D3 (NdG +1)
Groupe, Hutte, Marcheurs, Parents, Coin","Traces de ___ 
Faciles à Percevoir, Trouver, Suivre","Perdus ou Se reposant
En désavantage contre ___
Séduit d’une certaine façon par les PI","Aidante
“Aide car est lié/proche”
Cherche à interagir","Liens/Traces Faciles à 
Percevoir, Trouver, Suivre",+2
+3,"Voyage... d’1 Saison
Intérrompu 1 Héliorée avant destination",,,,,"Évidences de ___ 
Certaines et claires","Fuyant X ou Récompensés
En souffrance suite à ___
Dans la même situation que les PI, voulant coopérer","Alliée
“Offre 1 fois sans retour”
Cherche à interagir","Donnant des Évidences
Certaines et claires",+3
+4,"Voyage... d’1 Cycle
Intérrompu 1 Saison avant destination",,,"3D3x10 (NdG +4)
Hameau, Clan, Bande","1 (NdG 0)
Cabane, Mercenaire ","Surprendre ___ 
Dans une de ses activités","Piégé ou emprisonné
En désespoir, catastrophe ou mourant mais sauvable
Ayant trop, du surplus, etc.","Dévouée
“Se sacrifie en partie”
Interagit sans demander","Directement Lié 
À l’un des But des PI 
ou à celui Poursuivi",+4
+5,"Voyage... d’1 Soleil 
Intérrompu 1 Cycle avant destination",,,"(!)D3x100 (NdG +5)
Tribu, Caravane",""" 0 
Relancer 5dD, où le résultat donnera le nombre de Traces|Cadavres présent(e)s","Piéger Totalement ___ 
En gagnant une position avantageuse","Célébrant leur richesse
Mourant et sans espoir de survie, prêt à se sacrifier
En surabondance extrême","Transcendante
“Se sacrifie entièrement”
Interagit sans demander","Donnant une Solution 
À l’un des Buts des PI ou à celui Poursuivi",+5
,,,,,,,,,,
