﻿Tableau des Symboles Calendaires,,,,,,,,,,,,,,,,,,
,Puissance,,,Aisance,,Précision,,Athlétisme,,Charisme,,Détection,,Réflexion,,Domination,,
,"Ardreï 
(Fin d'Été)",,,"Faneï 
(Début d’Automne)",,"Auneï 
(Fin d’Automne)",,"Albeï 
(Début d’Hiver)",,"Frimeï 
(Fin d’Hiver)",,"Esveï 
(Début de Cycle)",,"Luiseï 
(Fin de Cycle)",,"Naistreï 
(Début d’Été)",,
"(-)

1ère
H
É
L
I
O
R
É
E",le Démolisseur,,,la Dague,,le Trappeur ,,le Coracle,,le Maître,,la Boussole,,le Temple,,la Mule ,,"(-)

1ère
H
É
L
I
O
R
É
E"
,S,Puissance,"3 Actions, 3 M",Aisance,"3 Actions, 3 M",Précision,"3 Actions, 3 M",Athlétisme,"3 Actions, 3 M",Charisme,"3 Actions, 3 M",Détection,"3 Actions, 3 M",Réflexion,"3 Actions, 3 M",Domination,"3 Actions, 3 M",
,F,Domination,"2 Actions, 2 M",Puissance,"2 Actions, 2 M",Puissance,"2 Actions, 2 M",Domination,"2 Actions, 2 M",Athlétisme,"2 Actions, 2 M",Réflexion,"2 Actions, 2 M",Domination,"2 Actions, 2 M",Athlétisme,"2 Actions, 2 M",
,I,Athlétisme,"1 Action, 1 M",Réflexion,"1 Action, 1 M",Aisance,"1 Action, 1 M",Puissance,"1 Action, 1 M",Précision,"1 Action, 1 M",Aisance,"1 Action, 1 M",Puissance,"1 Action, 1 M",Détection,"1 Action, 1 M",
"(-)

2ème
H
É
L
I
O
R
É
E",la Sentinelle,,,la Danseuse,,la Farceuse,,la Puisiatière,,le Marchand,,l’ Éclaireur,,la Forge,,le Sillon,,"(-)

2ème
H
É
L
I
O
R
É
E"
,S,Puissance,"3 Actions, 3 M",Aisance,"3 Actions, 3 M",Précision,"3 Actions, 3 M",Athlétisme,"3 Actions, 3 M",Charisme,"3 Actions, 3 M",Détection,"3 Actions, 3 M",Réflexion,"3 Actions, 3 M",Domination,"3 Actions, 3 M",
,F,Aisance,"2 Actions, 2 M",Athlétisme,"2 Actions, 2 M",Charisme,"2 Actions, 2 M",Aisance,"2 Actions, 2 M",Détection,"2 Actions, 2 M",Aisance,"2 Actions, 2 M",Précision,"2 Actions, 2 M",Réflexion,"2 Actions, 2 M",
,I,Précision,"1 Action, 1 M",Charisme,"1 Action, 1 M",Aisance,"1 Action, 1 M",Précision,"1 Action, 1 M",Réflexion,"1 Action, 1 M",Athlétisme,"1 Action, 1 M",Détection,"1 Action, 1 M",Puissance,"1 Action, 1 M",
"(-)

3ème
H
É
L
I
O
R
É
E",le Seigneur,,,l’ Enfant,,le Pont ,,le Vagabond,,l’ Orateur,,le Poète,,l’ Oracle,,le Rituel ,,"(-)

3ème
H
É
L
I
O
R
É
E"
,S,Puissance,"3 Actions, 3 M",Aisance,"3 Actions, 3 M",Précision,"3 Actions, 3 M",Athlétisme,"3 Actions, 3 M",Charisme,"3 Actions, 3 M",Détection,"3 Actions, 3 M",Réflexion,"3 Actions, 3 M",Domination,"3 Actions, 3 M",
,F,Charisme,"2 Actions, 2 M",Précision,"2 Actions, 2 M",Détection,"2 Actions, 2 M",Puissance,"2 Actions, 2 M",Réflexion,"2 Actions, 2 M",Charisme,"2 Actions, 2 M",Détection,"2 Actions, 2 M",Précision,"2 Actions, 2 M",
,I,Domination,"1 Action, 1 M",Athlétisme,"1 Action, 1 M",Domination,"1 Action, 1 M",Charisme,"1 Action, 1 M",Domination,"1 Action, 1 M",Réflexion,"1 Action, 1 M",Charisme,"1 Action, 1 M",Détection,"1 Action, 1 M",
,"(- - - - -...) Le Touche-à-Tout

UNE Action de chacune des 8 Aptitudes est Fascinante, ces Compétences auront toujours deux Marques Éternelles.",,,,,,,,,"(+++++...) L’Étoile-Filante

Tirer UNE fois 2dD afin d’y déterminer (ou choisir si l’on y obtient ++) UNE Aptitude Sublimante, où ses futures Compétences y auront toujours (5 Marques Éternelles).",,,,,,,,
,,,,,,,,,,,,,,,,,,
